현토,시제,건수,비율
이라하야늘,미래/추측,6,12.0
이라하야늘,의문,2,4.0
호라,과거,26,48.148148148148145
호라,현재,19,35.18518518518518
호라,미래/추측,4,7.4074074074074066
호라,의문,5,9.25925925925926
이러라,과거,193,69.17562724014337
이러라,현재,65,23.297491039426525
이러라,미래/추측,15,5.376344086021505
이러라,의문,6,2.1505376344086025
아하다,과거,22,36.0655737704918
아하다,미래/추측,14,22.950819672131146
아하다,의문,18,29.508196721311474
아하다,현재,7,11.475409836065573
라하니,과거,335,37.51399776035834
라하니,현재,354,39.641657334826434
라하니,미래/추측,152,17.02127659574468
라하니,의문,52,5.823068309070549
라한대,과거,50,48.07692307692308
라한대,현재,43,41.34615384615385
라한대,미래/추측,7,6.730769230769231
라한대,의문,4,3.8461538461538463
이라하다,과거,88,51.162790697674424
이라하다,현재,60,34.883720930232556
이라하다,미래/추측,23,13.372093023255813
이라하다,의문,1,0.5813953488372093
이라한대,과거,30,47.61904761904761
이라한대,현재,28,44.44444444444444
이라한대,미래/추측,5,7.936507936507936
아하고,과거,25,35.2112676056338
아하고,현재,8,11.267605633802818
아하고,미래/추측,16,22.535211267605636
아하고,의문,22,30.985915492957744
아하니,과거,30,32.608695652173914
아하니,의문,24,26.08695652173913
아하니,현재,17,18.478260869565215
아하니,미래/추측,21,22.82608695652174
이니,과거,138,16.974169741697416
이니,현재,434,53.38253382533825
이니,미래/추측,179,22.01722017220172
이니,의문,62,7.626076260762607
오하니,과거,31,37.34939759036144
오하니,현재,15,18.072289156626507
오하니,의문,23,27.710843373493976
오하니,미래/추측,14,16.867469879518072
하며,과거,188,44.54976303317535
하며,현재,179,42.41706161137441
하며,미래/추측,41,9.715639810426541
하며,의문,14,3.3175355450236967
이로다,과거,57,34.54545454545455
이로다,현재,61,36.96969696969697
이로다,미래/추측,31,18.787878787878785
이로다,의문,16,9.696969696969697
리오하고,미래/추측,18,35.294117647058826
리오하고,의문,18,35.294117647058826
리오하고,과거,12,23.52941176470588
리오하고,현재,3,5.88235294117647
여,의문,30,17.045454545454543
여,현재,46,26.136363636363637
여,미래/추측,38,21.59090909090909
여,과거,62,35.22727272727273
하소서,과거,84,24.778761061946902
하소서,현재,177,52.21238938053098
하소서,미래/추측,47,13.864306784660767
하소서,의문,31,9.144542772861357
할새,과거,45,80.35714285714286
할새,현재,9,16.071428571428573
할새,미래/추측,1,1.7857142857142856
할새,의문,1,1.7857142857142856
일새라,현재,100,49.504950495049506
일새라,과거,38,18.81188118811881
일새라,미래/추측,50,24.752475247524753
일새라,의문,14,6.9306930693069315
이온,현재,20,37.735849056603776
이온,미래/추측,14,26.41509433962264
이온,의문,12,22.641509433962266
이온,과거,7,13.20754716981132
하니이다,현재,478,54.50399087799316
하니이다,미래/추측,69,7.8677309007981755
하니이다,의문,59,6.727480045610035
하니이다,과거,271,30.90079817559863
잇고,현재,28,18.91891891891892
잇고,의문,62,41.891891891891895
잇고,과거,36,24.324324324324326
