도서명,시제,건수,비율
춘추좌씨전1,과거,566,36.18925831202046
춘추좌씨전1,미래/추측,190,12.148337595907927
춘추좌씨전1,의문,87,5.562659846547315
춘추좌씨전2,과거,1029,42.50309789343247
춘추좌씨전2,현재,743,30.689797604295745
춘추좌씨전2,의문,249,10.285006195786865
춘추좌씨전2,미래/추측,400,16.52209830648492
춘추좌씨전3,과거,826,41.05367793240557
춘추좌씨전3,현재,645,32.05765407554672
춘추좌씨전3,미래/추측,337,16.749502982107355
춘추좌씨전3,의문,204,10.139165009940358
춘추좌씨전4,과거,766,40.91880341880342
춘추좌씨전4,현재,584,31.196581196581196
춘추좌씨전4,미래/추측,326,17.414529914529915
춘추좌씨전4,의문,196,10.47008547008547
춘추좌씨전5,과거,883,35.894308943089435
춘추좌씨전5,현재,827,33.61788617886179
춘추좌씨전5,미래/추측,420,17.073170731707318
춘추좌씨전5,의문,330,13.414634146341465
춘추좌씨전6,현재,671,33.1358024691358
춘추좌씨전6,의문,242,11.950617283950617
춘추좌씨전6,과거,770,38.02469135802469
춘추좌씨전6,미래/추측,342,16.88888888888889
당송팔대가문초소식1,과거,476,23.006283228612855
당송팔대가문초소식1,미래/추측,324,15.659739004349927
당송팔대가문초소식1,의문,281,13.581440309328178
당송팔대가문초소식1,현재,988,47.75253745770904
당송팔대가문초소식5,현재,506,33.26758711374096
당송팔대가문초소식5,미래/추측,305,20.052596975673897
당송팔대가문초소식5,과거,498,32.74161735700197
당송팔대가문초소식5,의문,212,13.93819855358317
춘추좌씨전7,과거,789,41.158059467918626
춘추좌씨전7,현재,643,33.54199269692227
춘추좌씨전7,미래/추측,285,14.86697965571205
춘추좌씨전7,의문,200,10.432968179447052
춘추좌씨전8,현재,132,28.14498933901919
춘추좌씨전8,미래/추측,67,14.285714285714285
춘추좌씨전8,의문,68,14.498933901918976
춘추좌씨전8,과거,202,43.070362473347544
