x,y,boundary_type,cluster_id,z
10.983219,-8.737932,Sentence,0,8.851779
12.3652,-7.8680596,Sentence,1,8.837196
12.474754,-6.793723,Sentence,2,10.834794
12.5551815,-6.215683,Sentence,0,7.9009023
10.563865,-6.398891,Sentence,0,8.712089
11.677812,-6.7945666,Sentence,0,7.717806
12.589789,-6.7541847,Sentence,2,10.522552
12.691614,-8.155511,Sentence,1,8.923904
12.014831,-8.762479,Sentence,1,8.362919
11.696415,-6.681075,Sentence,0,7.6829267
12.373864,-8.266776,Sentence,1,9.803577
12.825348,-8.263637,Sentence,2,8.716032
12.65895,-6.6029515,Sentence,2,9.578033
11.568838,-6.9495063,Sentence,2,10.027702
13.260831,-8.344603,Sentence,1,8.952085
11.789292,-8.571907,Sentence,1,9.595486
12.942574,-5.7483463,Sentence,2,8.405932
11.928173,-8.295383,Sentence,1,9.864452
10.767593,-8.730302,Sentence,1,9.190685
12.506647,-6.3949695,Sentence,0,7.650009
11.815205,-8.036789,Sentence,1,8.862303
10.974936,-6.330709,Sentence,2,8.522002
12.649129,-7.1056232,Sentence,2,10.135777
11.597059,-5.8914704,Sentence,0,7.5340495
12.2389,-8.345638,Sentence,1,8.593654
12.3936825,-5.1342564,Sentence,2,8.044403
11.845723,-6.1566496,Sentence,0,7.253221
10.135119,-5.677513,Sentence,0,8.2587595
12.770799,-6.7116,Sentence,2,10.51693
12.638703,-8.07957,Sentence,1,8.969559
10.454014,-4.2257385,Sentence,0,9.528588
13.0809765,-6.8354855,Sentence,2,9.072025
12.091869,-8.268185,Sentence,1,8.917099
12.176863,-7.869456,Sentence,1,9.864935
11.578935,-6.155819,Sentence,0,7.9382544
13.45362,-8.296724,Sentence,1,9.025506
12.61952,-7.1775956,Sentence,2,10.0927725
11.1849375,-6.6440644,Sentence,2,10.227144
11.712442,-8.184509,Sentence,1,9.417432
13.105144,-6.3291306,Sentence,2,10.464062
12.022436,-8.437877,Sentence,1,8.454062
11.190587,-4.4463887,Sentence,0,10.999287
10.34919,-5.3805037,Sentence,0,8.109544
12.127573,-8.271578,Sentence,1,10.032158
11.446556,-6.312357,Sentence,0,9.01549
12.192415,-5.7395344,Sentence,0,7.185689
12.650924,-7.322838,Sentence,1,8.19248
11.570708,-8.914201,Sentence,0,7.584456
11.164864,-7.013635,Sentence,2,9.259571
12.363209,-6.9752398,Sentence,2,10.055481
10.193889,-5.9579797,Sentence,0,8.222617
12.352446,-7.7129254,Sentence,0,7.938627
12.507638,-7.694347,Sentence,2,9.150609
12.742874,-7.0665846,Sentence,2,9.405216
12.510014,-7.845718,Sentence,2,10.1536875
11.754136,-8.790339,Sentence,1,9.428733
12.263824,-7.673443,Sentence,1,10.182309
10.680036,-8.688246,Sentence,1,8.6410885
12.207435,-7.777562,Sentence,1,8.240005
10.836506,-8.69755,Sentence,2,9.362475
12.9712925,-7.3440666,Sentence,2,9.7955265
11.466267,-8.64379,Sentence,1,9.541307
10.862887,-6.665763,Sentence,0,8.295967
10.679329,-8.164491,Sentence,1,8.940121
11.769053,-8.534311,Sentence,1,8.772394
12.960742,-7.4334574,Sentence,2,9.06817
11.803112,-8.630604,Sentence,1,8.672359
9.893564,6.526148,Sentence,0,6.8825126
12.379845,-7.043034,Sentence,2,9.096925
9.726481,-8.264434,Sentence,1,8.339676
12.2307415,-7.5654726,Sentence,1,8.9350195
12.376522,-8.485371,Sentence,1,8.319087
12.794086,-6.3819823,Sentence,2,9.740382
10.728794,-6.9543657,Sentence,0,9.604239
12.420224,-5.0182495,Sentence,1,9.707928
12.166723,-4.9893694,Sentence,2,10.695749
11.300224,-5.8293314,Sentence,0,7.0474353
12.692983,-7.6510487,Sentence,2,8.990093
10.778631,-7.6020384,Sentence,0,7.365313
10.865744,-5.4287095,Sentence,1,8.892809
11.005117,-4.618831,Sentence,0,7.281656
11.419792,-8.057971,Sentence,1,9.288855
11.394997,-8.690535,Sentence,1,9.023298
11.58007,-7.297501,Sentence,2,9.015435
11.241814,-8.139311,Sentence,1,9.244927
12.725691,-6.2933044,Sentence,2,9.61782
10.240742,-5.4669094,Sentence,0,8.082772
12.587754,-7.7230616,Sentence,1,8.397702
12.424391,-8.361354,Sentence,1,8.611687
12.950174,-7.880059,Sentence,1,8.837617
12.904718,-7.3304377,Sentence,2,9.328678
12.969543,-6.237639,Sentence,2,10.641924
12.557638,-7.6963086,Sentence,2,10.212168
12.864515,-7.0522614,Sentence,2,10.185014
11.607934,-6.649942,Sentence,0,7.356354
12.366538,-8.674269,Sentence,1,9.054953
10.5106325,-8.250939,Sentence,0,9.293986
11.19606,-5.54623,Sentence,0,7.2677426
13.5781145,-8.370338,Sentence,0,9.073939
10.996376,-8.527888,Sentence,1,8.453631
10.110015,-7.768535,Sentence,0,8.502974
10.763001,-6.843517,Sentence,0,8.150234
12.842603,-6.952352,Sentence,2,9.830923
12.3407,-8.194266,Sentence,1,9.0582285
11.839736,-6.209892,Sentence,2,9.2687025
11.515693,-8.030848,Sentence,1,9.686908
13.113978,-6.2922897,Sentence,2,9.455078
12.126569,-8.123908,Sentence,1,10.029425
10.785482,-3.971725,Sentence,0,10.01339
10.026041,-5.1965775,Sentence,0,8.102747
12.353103,-5.258424,Sentence,2,10.328207
12.6847315,-8.386598,Sentence,1,9.096204
11.820114,-5.3268228,Sentence,2,10.564556
11.279452,-6.1765423,Sentence,2,10.039661
10.174123,-4.1320767,Sentence,0,5.7143555
12.887884,-8.022993,Sentence,1,9.233851
12.393992,-6.2205467,Sentence,0,8.151511
10.750228,-4.869265,Sentence,0,6.755397
11.2518835,-6.765913,Sentence,0,7.525635
12.757791,-7.1098857,Sentence,2,9.476484
12.435651,-7.465693,Sentence,1,10.00964
12.384006,-8.64797,Sentence,1,8.636612
12.164105,-7.2462535,Sentence,2,10.05442
11.548478,-5.3894053,Sentence,0,8.638674
11.939313,-6.639303,Sentence,0,7.6145988
12.573718,-7.4241085,Sentence,1,8.301082
12.441121,-7.054152,Sentence,2,10.097712
13.120957,-4.570313,Sentence,0,7.3743215
12.341355,-7.337819,Sentence,2,9.921772
9.87,-5.0379844,Sentence,0,8.089727
12.517793,-7.01006,Sentence,2,10.517233
12.148312,-8.655497,Sentence,1,9.073442
12.057915,-8.045859,Sentence,1,7.7655454
10.881474,-8.368916,Sentence,1,9.162793
10.91036,-7.3513527,Sentence,0,8.046354
11.6863165,-8.678341,Sentence,1,8.88882
12.461236,-7.817061,Sentence,2,10.258702
12.384077,-5.577559,Sentence,2,10.823799
12.0717535,-7.8708024,Sentence,1,9.585077
12.319131,-6.0571165,Sentence,2,10.041559
12.988103,-6.8643646,Sentence,2,9.611002
12.74634,-6.976973,Sentence,2,9.803255
