x,y,boundary_type,cluster_id
5.6462936,-3.8685987,Sentence,1
6.177112,-3.4879782,Sentence,1
7.8417516,-3.620813,Sentence,1
6.233666,-5.043205,Sentence,0
8.4612875,-4.822663,Sentence,1
8.351105,-4.946243,Sentence,1
7.2555995,-2.7078235,Sentence,1
10.722341,-4.9952745,Sentence,2
6.277657,-5.0065875,Sentence,2
7.5569067,-4.0977793,Sentence,1
6.744397,-2.4154856,Sentence,0
5.5466585,-1.6042637,Sentence,0
9.470686,-4.836722,Sentence,2
10.843984,-3.006367,Sentence,0
7.5422597,-4.0001993,Sentence,1
9.216917,-5.2852097,Sentence,2
6.771439,-1.6283834,Sentence,0
8.654716,-1.3839288,Sentence,0
7.2344027,-1.9165523,Sentence,0
8.956996,-5.1639657,Sentence,2
7.080942,-4.3295116,Sentence,1
6.666568,-3.8462226,Sentence,1
7.0365443,-2.119336,Sentence,0
7.854597,-4.2146244,Sentence,1
6.668021,-4.5598288,Sentence,2
8.488745,-4.8955755,Sentence,2
9.112498,-3.9182146,Sentence,2
6.3374634,-4.782884,Sentence,1
8.074464,-4.0427494,Sentence,1
6.0840106,-1.3781983,Sentence,2
8.098296,-4.1530013,Sentence,1
9.784237,-2.4354064,Sentence,1
6.4984565,-1.8818456,Sentence,0
7.307034,-3.5359325,Sentence,1
7.47873,-2.361386,Sentence,2
8.58827,-4.948403,Sentence,2
6.9019394,-0.96884894,Sentence,0
7.1610885,-3.9386725,Sentence,1
6.0273576,-0.29231584,Sentence,2
6.8121543,-1.1941352,Sentence,0
6.450699,-0.12722461,Sentence,0
9.028411,-5.3748493,Sentence,2
6.9423294,-4.214904,Sentence,1
5.2426767,-3.1292522,Sentence,0
6.4370074,-3.6822336,Sentence,2
7.4255495,-3.7228837,Sentence,1
8.316718,-4.3317804,Sentence,1
7.7354655,-1.2527306,Sentence,0
6.2990613,-4.88112,Sentence,1
8.544689,-4.882184,Sentence,2
9.466207,-3.5381987,Sentence,2
8.27579,-3.7774892,Sentence,1
9.440778,-5.743648,Sentence,2
7.0191317,-3.4963155,Sentence,1
11.620422,-4.9448147,Sentence,0
6.4709387,-0.18864399,Sentence,0
8.227469,-4.671282,Sentence,1
8.5103445,-1.9144065,Sentence,0
5.801059,-2.3258967,Sentence,0
6.5452995,-2.8907478,Sentence,1
5.577879,-3.8064423,Sentence,0
8.673046,-2.690401,Sentence,2
8.682148,-4.8135443,Sentence,2
6.3982606,-3.0553858,Sentence,0
