x,y,boundary_type,cluster_id
8.197863,11.123088,Sentence,0
8.042002,13.446325,Sentence,2
9.484062,11.460408,Sentence,1
8.575423,12.889296,Sentence,2
12.265291,10.930201,Sentence,3
8.577948,12.570346,Sentence,0
8.78075,13.14731,Sentence,2
12.228447,10.587224,Sentence,1
7.3656206,10.101727,Sentence,0
7.4873643,12.597451,Sentence,0
10.177432,10.54453,Sentence,1
8.035495,14.928149,Sentence,2
8.401966,11.038113,Sentence,0
7.869,12.78024,Sentence,0
9.272658,13.984741,Sentence,1
8.716139,15.2820835,Sentence,2
10.826445,12.02377,Sentence,1
8.462707,14.238377,Sentence,2
7.035761,11.502906,Sentence,0
7.5096602,13.202274,Sentence,2
7.665151,12.553823,Sentence,0
9.42764,14.821962,Sentence,2
9.796928,14.825826,Sentence,2
9.914399,13.49607,Sentence,2
11.352678,11.895775,Sentence,1
7.4555016,13.671952,Sentence,2
8.621298,13.772905,Sentence,2
10.130094,11.271293,Sentence,0
8.614786,13.478522,Sentence,2
8.185985,14.384313,Sentence,2
8.14295,13.173337,Sentence,2
9.80999,15.0622635,Sentence,2
12.197924,12.25293,Sentence,3
9.6645,14.660473,Sentence,0
8.977244,14.664436,Sentence,2
8.41828,8.013928,Sentence,3
7.492422,11.772083,Sentence,0
8.152501,12.822675,Sentence,2
9.805627,11.036987,Sentence,1
11.304486,11.888929,Sentence,3
8.530941,10.2895155,Sentence,1
7.6158795,9.659529,Sentence,1
8.965485,13.009126,Sentence,2
12.43991,11.745626,Sentence,3
11.901619,10.603155,Sentence,1
11.040983,13.908293,Sentence,2
12.203857,11.107032,Sentence,3
10.248051,14.741209,Sentence,3
7.4227624,13.011069,Sentence,0
8.130162,13.219984,Sentence,0
8.539601,13.581479,Sentence,2
6.5563784,13.515466,Sentence,0
12.148346,11.532948,Sentence,3
7.921989,13.99265,Sentence,2
6.3887253,13.519519,Sentence,0
8.888594,12.852041,Sentence,1
9.295625,15.079453,Sentence,2
11.815128,11.729587,Sentence,3
7.664079,13.908926,Sentence,2
8.056766,9.617168,Sentence,0
6.6852536,8.937839,Sentence,1
12.137985,10.656343,Sentence,1
8.0691805,13.853065,Sentence,2
10.459174,12.280681,Sentence,1
9.226394,14.035324,Sentence,2
7.600578,9.713684,Sentence,0
12.284513,10.59142,Sentence,3
9.592724,14.242281,Sentence,2
10.3042145,14.127993,Sentence,2
7.331309,11.06601,Sentence,0
7.4030704,12.347187,Sentence,0
10.854528,13.711318,Sentence,2
9.548345,13.23315,Sentence,0
10.800977,12.2141075,Sentence,1
7.840145,13.246033,Sentence,0
9.321107,14.2452545,Sentence,2
9.197251,15.166224,Sentence,0
9.330295,11.668763,Sentence,0
7.2325563,11.09587,Sentence,0
10.419961,10.353999,Sentence,1
13.951382,11.353649,Sentence,3
8.084458,12.2702,Sentence,0
7.408687,12.415335,Sentence,0
8.343916,14.164956,Sentence,2
8.574344,15.16392,Sentence,2
8.478131,12.826576,Sentence,0
6.395276,13.589559,Sentence,1
7.4232593,12.980541,Sentence,2
9.632738,13.384457,Sentence,2
11.471133,12.31083,Sentence,3
7.940683,13.559085,Sentence,2
6.362178,13.605349,Sentence,0
9.356478,12.632748,Sentence,2
11.486844,11.652613,Sentence,3
8.167814,11.379827,Sentence,1
10.716598,15.067761,Sentence,3
7.4714136,11.755348,Sentence,0
7.5327654,23.821444,Sentence,1
8.425012,10.094993,Sentence,1
12.0560465,11.075992,Sentence,2
