x,y,boundary_type,cluster_id,z
14.151209,16.591269,Sentence,0,9.4118595
13.396911,16.305061,Sentence,2,9.162587
13.184603,16.346533,Sentence,2,10.438344
12.107539,16.950987,Sentence,2,10.911834
12.611144,14.6197195,Sentence,0,10.309878
12.572719,17.017748,Sentence,2,10.598137
13.767774,16.022552,Sentence,0,8.965507
11.716797,13.67275,Sentence,0,8.522377
15.7139435,13.468514,Sentence,3,10.105173
13.177778,15.407348,Sentence,0,8.81882
13.123097,16.686255,Sentence,2,9.411455
11.84239,14.243877,Sentence,3,10.5715885
11.975601,13.363244,Sentence,1,8.877776
12.563232,16.597754,Sentence,1,9.306757
12.321513,13.653171,Sentence,0,8.640554
13.74176,14.987456,Sentence,2,9.8631735
12.196716,15.682855,Sentence,0,8.7858515
12.636305,15.803745,Sentence,0,9.406669
14.301243,13.508558,Sentence,1,10.152606
13.13684,14.19773,Sentence,1,9.385598
13.704035,16.497135,Sentence,2,10.241605
13.254364,16.468529,Sentence,2,8.81203
11.921609,17.08244,Sentence,0,10.390286
13.374103,16.786634,Sentence,2,9.891578
13.917453,14.073032,Sentence,1,11.431147
12.22178,16.662508,Sentence,2,10.600741
13.460134,12.954077,Sentence,1,10.196799
12.537106,16.477264,Sentence,2,10.09807
12.597542,16.40367,Sentence,2,8.912638
13.934582,14.841119,Sentence,2,9.282873
12.820222,16.461468,Sentence,2,9.462287
13.981544,14.472865,Sentence,1,9.908319
12.794868,15.839652,Sentence,0,8.712765
13.071876,14.97313,Sentence,2,11.064034
11.413218,12.948031,Sentence,1,9.09135
14.523045,15.97103,Sentence,1,8.715751
11.743779,12.214164,Sentence,1,8.832167
11.9806595,15.107406,Sentence,2,11.313298
14.317684,15.48057,Sentence,2,9.48373
13.200852,16.917492,Sentence,2,10.241449
12.392488,15.994023,Sentence,0,8.606297
12.673889,16.102232,Sentence,0,10.494442
11.965159,16.798471,Sentence,2,11.051828
14.687089,13.871122,Sentence,3,11.125027
12.591712,13.42409,Sentence,0,8.214959
11.976619,14.886908,Sentence,0,8.12114
12.3256035,16.735771,Sentence,2,10.195444
12.384268,16.014593,Sentence,0,8.802071
13.562223,16.803612,Sentence,2,9.571034
13.245434,16.957256,Sentence,2,9.559666
11.737614,13.311732,Sentence,1,8.734746
14.677468,22.16374,Sentence,1,14.591617
13.773344,14.653756,Sentence,1,9.901035
12.454582,16.516905,Sentence,2,9.126299
12.4851,15.741529,Sentence,0,8.404506
11.525666,13.520344,Sentence,0,8.762682
13.225997,16.401121,Sentence,2,9.294631
12.000902,16.328259,Sentence,2,10.147296
14.978531,13.8429165,Sentence,3,11.31053
11.910599,15.623971,Sentence,0,9.2450905
12.18055,15.637213,Sentence,0,8.716441
12.912592,16.086433,Sentence,2,10.000771
12.695238,17.042566,Sentence,2,10.603788
13.377596,16.890041,Sentence,2,9.763199
11.892195,14.360638,Sentence,1,10.34516
