genre,marker,mean_freq
經_사서,커시늘,0.0005153045449860868
經_사서,케하노니,0.00010306090899721736
經_사서,라하며,0.0011336699989693908
經_사서,온여,0.0016489745439554778
經_사서,라한대,0.0005153045449860868
經_사서,하리라하고,0.0006183654539833041
經_사서,아하니,0.00020612181799443472
經_사서,아하시니라,0.00030918272699165207
經_사서,리가,0.00010306090899721736
經_사서,여하며,0.00010306090899721736
經_사서,아하며,0.00020612181799443472
經_사서,라하나,0.0006183654539833041
經_사서,오한대,0.00030918272699165207
經_사서,고하며,0.00020612181799443472
經_사서,고하면,0.00030918272699165207
經_사서,오하며,0.00041224363598886944
經_사서,오하면,0.0007214263629805215
經_사서,라하시면,0.00010306090899721736
經_사서,고하니,0.00010306090899721736
經_사서,리오하여,0.00030918272699165207
經_사서,시리이다,0.00010306090899721736
經_사서,리오하며,0.00010306090899721736
經_사서,시리오하니이다,0.00010306090899721736
經_사서,아하시고,0.00020612181799443472
經_사서,로는,0.00030918272699165207
經_사서,시면,0.0006183654539833041
經_사서,여하시니,0.00030918272699165207
經_사서,라고,0.00010306090899721736
經_사서,인들,0.00041224363598886944
經_사서,하나,0.0011336699989693908
經_사서,라하신대,0.00041224363598886944
經_사서,인저하니,0.00041224363598886944
經_사서,인저하시고,0.00010306090899721736
經_사서,라호라,0.00030918272699165207
經_사서,니다,0.00020612181799443472
經_사서,오하니,0.00010306090899721736
經_사서,라하여시늘,0.00020612181799443472
經_사서,라호이다,0.00010306090899721736
經_사서,컨댄,0.00020612181799443472
經_사서,런고,0.00020612181799443472
經_사서,로라하여늘,0.00020612181799443472
經_사서,아하고,0.00010306090899721736
經_사서,하오니,0.00010306090899721736
經_사서,하더이다,0.00030918272699165207
經_사서,커시든,0.00020612181799443472
經_사서,학고,0.00020612181799443472
經_사서,로라하시니라,0.00010306090899721736
經_사서,어시니,0.00030918272699165207
經_사서,호이다,0.00030918272699165207
經_사서,로리라,0.0007214263629805215
經_사서,커든,0.00010306090899721736
經_사서,시리잇고,0.0005153045449860868
經_사서,다,0.0005153045449860868
經_사서,호리라,0.00010306090899721736
經_사서,시고,0.00030918272699165207
經_사서,라하시다,0.00020612181799443472
經_사서,커늘,0.00010306090899721736
經_사서,삿다,0.00041224363598886944
經_사서,인지,0.00020612181799443472
經_사서,하도,0.00020612181799443472
經_사서,소서,0.00010306090899721736
經_사서,저,0.00020612181799443472
經_사서,하더니라,0.00010306090899721736
經_사서,하다가,0.0005153045449860868
經_사서,아하면,0.00041224363598886944
經_사서,어나,0.0005153045449860868
經_사서,라하더이다,0.00030918272699165207
經_사서,하심은,0.00010306090899721736
經_사서,토록,0.00010306090899721736
經_사서,아하여늘,0.00030918272699165207
經_사서,리오한대,0.00020612181799443472
經_사서,라하시더니,0.00020612181799443472
經_사서,인져,0.00020612181799443472
經_사서,릿고한대,0.00020612181799443472
經_사서,오도,0.00020612181799443472
經_사서,오하시니라,0.00010306090899721736
經_사서,하여서,0.00020612181799443472
經_사서,리오하고,0.00010306090899721736
經_사서,시며,0.00010306090899721736
經_사서,고하시면,0.00010306090899721736
經_사서,리오호라,0.00010306090899721736
經_사서,로라하리니,0.00010306090899721736
經_사서,일새니,0.00010306090899721736
經_사서,신저하시니,0.00010306090899721736
經_사서,하라하여시늘,0.00010306090899721736
經_사서,아한대,0.00010306090899721736
經_사서,리잇가,0.00010306090899721736
經_사서,고하여늘,0.00010306090899721736
經_사서,하리라하시고,0.00020612181799443472
經_사서,오사,0.00010306090899721736
經_사서,인저하고,0.00020612181799443472
經_사서,인저하여늘,0.00020612181799443472
