cluster_id,는,하고,하여,하니,에,하야,가,니,요,면,로,라,나,어늘,하며,를,와,라하니,러니,로되,한대,하면,라도,오,라가,며,라하고,어든,하사,하시니
13,0.2088627533340334,0.11813504147852567,0.06500052504462879,0.05103433791872309,0.08547726556757325,0.07340123910532395,0.06206027512338549,0.047779061220203714,0.05502467709755329,0.032447758059435054,0.044523784521684345,0.015646329938044733,0.013756169274388323,0.008610731912212538,0.019531660191116244,0.01837656200777066,0.025517168959361545,0.004725401659141027,0.003675312401554132,0.005355455213693164,0.0024152052924498583,0.006090517694003991,0.002940249921243306,0.006510553397038748,0.0028352409954846163,0.0028352409954846163,0.003255276698519374,0.004620392733382338,0.006720571248556127,0.0028352409954846163
14,0.1459417018353126,0.1440769457257827,0.11649818431641967,0.0644813033663755,0.06467759348316812,0.07724016095789576,0.04220237511041319,0.0644813033663755,0.048091078614191776,0.03808028265776818,0.040337619000883305,0.016390224752183727,0.005888703503778585,0.009716360781234664,0.027382471292570418,0.027382471292570418,0.017175385219354206,0.006968299146137992,0.0036313671606634608,0.00392580233585239,0.0025517715183040533,0.00794974973010109,0.0033369319854745314,0.003435077043870841,0.002257336343115124,0.005103543036608107,0.002355481401511434,0.004612817744626558,0.0018647561095298851,0.001962901167926195
15,0.08449989855954555,0.10367214445120713,0.08957192128220734,0.06705214039358896,0.1390748630553865,0.11239602353418543,0.06948671130046663,0.03915601541894908,0.028200446337999594,0.031953743152769325,0.03631568269425847,0.026881720430107527,0.017244877257050113,0.029620612700344898,0.01633191316697099,0.011564211807668898,0.00426049908703591,0.004361939541489146,0.013694461351186854,0.004869141813755326,0.008115236356258876,0.004361939541489146,0.004159058632582674,0.009129640900791236,0.011564211807668898,0.003448975451410022,0.00476770135930209,0.014100223168999797,0.007202272266179753,0.0029417731791438425
16,0.08235294117647059,0.15105882352941177,0.06623529411764706,0.1,0.10505882352941176,0.08823529411764706,0.14694117647058824,0.009294117647058824,0.01835294117647059,0.00811764705882353,0.03411764705882353,0.01223529411764706,0.014823529411764706,0.03529411764705882,0.00611764705882353,0.0037647058823529413,0.023411764705882354,0.004588235294117647,0.025529411764705884,0.008823529411764706,0.026705882352941177,0.00047058823529411766,0.0012941176470588236,0.0051764705882352945,0.010588235294117647,0.0012941176470588236,0.005411764705882353,0.0007058823529411765,0.0024705882352941176,0.0015294117647058824
17,0.19407388404309903,0.10620831195484864,0.0840174448435095,0.0944073884043099,0.07478193945613135,0.04155977424320164,0.07555156490507953,0.0586198050282196,0.04874294510005131,0.01718830169317599,0.017060030785017957,0.025012827090815804,0.013340174448435094,0.023730118009235506,0.03514622883530016,0.01026167265264238,0.023345305284761416,0.006670087224217547,0.003719856336582863,0.004104669061056952,0.0038481272447408927,0.00525910723447922,0.002308876346844536,0.003206772703950744,0.004361210877373012,0.011031298101590559,0.002565418163160595,0.004361210877373012,0.0028219599794766545,0.002693689071318625
18,0.18940214714862602,0.06441445878065596,0.09051511868413277,0.07199842411110016,0.07416527134836993,0.04885255589480941,0.1470501329656259,0.04707968088249778,0.028366000196986114,0.02925243770314193,0.046193243376341966,0.02334285432876982,0.014478479267211661,0.016842312616960505,0.006205062543090712,0.01388752092977445,0.0074854722742046685,0.011917659804983749,0.006008076430611642,0.005220131980695361,0.005811090318132572,0.005220131980695361,0.0029547916871860533,0.0036442430808627992,0.0017728750123116321,0.0032502708559046588,0.005220131980695361,0.0033487639121441938,0.013198069536097706,0.0129025903673791
19,0.15439629785443837,0.09490954985275557,0.09861169541438788,0.10164072360117796,0.03550694152292806,0.06848969289019773,0.06924694993689524,0.06403029028186791,0.043668489692890194,0.04753891459823307,0.026419856962557844,0.032393773664282706,0.038535969709718135,0.015649978965082037,0.019267984854859067,0.015229280605805638,0.004627681952040387,0.009339503575936053,0.004711821623895667,0.009676062263357174,0.0022717711400925536,0.007656710138830458,0.011442995372318047,0.002776609171224232,0.002103491796381994,0.002944888514934792,0.0030290281867900717,0.004711821623895667,0.003954564577198149,0.005216659655027345
20,0.12023396880415944,0.08311669555170421,0.07084055459272097,0.11481802426343155,0.034806470248411325,0.06282495667244367,0.06701328711727325,0.05596476025418833,0.0488157134604275,0.04845465049104564,0.03473425765453495,0.04404968226458694,0.05155979202772964,0.023324667822068167,0.008015597920277296,0.02628538417099942,0.0033939919121894857,0.013937030618139803,0.008448873483535528,0.021013864818024263,0.006499133448873483,0.0031773541305603697,0.016681109185441943,0.005560369728480647,0.0029607163489312536,0.005704794916233391,0.004838243789716926,0.005921432697862507,0.0017331022530329288,0.005271519352975159
21,0.1550200009877031,0.1029186626500074,0.12469751592671242,0.07225048150525952,0.043903402637167264,0.05797817176156847,0.06933675737073436,0.06459578250777816,0.04750851893920687,0.058669563929082916,0.046273890068645365,0.02814953824880241,0.011654896538100647,0.006765766210677071,0.0271618351523532,0.02414934070818312,0.005679292804582943,0.008444861474640722,0.0012840140253839697,0.004592819398488815,0.00034569608375722256,0.009235023951800089,0.0022223319670107164,0.003506345992394686,0.00039508123857968295,0.0039014272309743693,0.0027655686700577805,0.0025680280507679393,0.006913921675144452,0.007111462294434293
22,0.04816396242527754,0.04389410760034159,0.017762596071733562,0.04355251921434671,0.6059777967549104,0.031938514090520925,0.03159692570452605,0.017591801878736123,0.018958155422715627,0.008368915456874466,0.029376601195559352,0.010418445772843723,0.003757472245943638,0.004782237403928267,0.003757472245943638,0.004782237403928267,0.033817250213492744,0.005465414175918019,0.011955593509820665,0.003757472245943638,0.001878736122971819,0.0023911187019641333,0.0003415883859948762,0.0015371477369769428,0.005807002561912895,0.0013663535439795047,0.0023911187019641333,0.001878736122971819,0.0010247651579846286,0.0017079419299743809
23,0.053532119271562935,0.12297378427056234,0.07194316589953972,0.12987792675605364,0.11446868120872523,0.17400440264158495,0.09365619371622974,0.015709425655393235,0.01180708425055033,0.024214528717230337,0.03762257354412647,0.013508104862917751,0.01550930558335001,0.03221933159895938,0.005203121873123874,0.0051030618371022615,0.002801681008605163,0.007804682809685812,0.014408645187112268,0.006103662197318391,0.017110266159695818,0.002301380828497098,0.0020012007204322593,0.0037022213327996796,0.010906543926355813,0.0005003001801080648,0.004602761656994196,0.0013007804682809686,0.003201921152691615,0.0019011406844106464
