도서명,TAM범주,건수,비율
자치통감강목7,의문 서법(Interrogative),115,5.086245024325519
자치통감강목7,회상상(Retrospective),317,14.020344980097303
자치통감강목7,추측 양태(Epistemic),148,6.54577620521893
주역전의(상),당위 양태(Deontic),3761,52.97929285814903
주역전의(상),서술 서법(Declarative),2691,37.90674742921538
주역전의(상),의문 서법(Interrogative),281,3.9583039864769685
주역전의(상),추측 양태(Epistemic),324,4.56402310184533
주역전의(상),회상상(Retrospective),42,0.5916326243132836
주역전의(하),당위 양태(Deontic),3762,52.329948532480174
주역전의(하),서술 서법(Declarative),2650,36.86187230491028
주역전의(하),추측 양태(Epistemic),459,6.3847544860203085
주역전의(하),의문 서법(Interrogative),316,4.395604395604396
주역전의(하),회상상(Retrospective),2,0.027820280984837947
중용장구,당위 양태(Deontic),513,55.82154515778019
중용장구,서술 서법(Declarative),354,38.52013057671382
중용장구,추측 양태(Epistemic),31,3.373231773667029
중용장구,의문 서법(Interrogative),15,1.632208922742111
중용장구,회상상(Retrospective),6,0.6528835690968444
춘추좌씨전2,당위 양태(Deontic),644,37.46364165212333
춘추좌씨전2,서술 서법(Declarative),533,31.006399069226294
춘추좌씨전2,의문 서법(Interrogative),259,15.066899360093078
춘추좌씨전2,추측 양태(Epistemic),234,13.612565445026178
춘추좌씨전2,회상상(Retrospective),49,2.8504944735311226
춘추좌씨전3,당위 양태(Deontic),637,39.63907902924704
춘추좌씨전3,서술 서법(Declarative),459,28.562538892345984
춘추좌씨전3,회상상(Retrospective),54,3.360298693217175
춘추좌씨전3,추측 양태(Epistemic),222,13.814561294337274
춘추좌씨전3,의문 서법(Interrogative),235,14.62352209085252
춘추좌씨전4,당위 양태(Deontic),572,40.168539325842694
춘추좌씨전4,서술 서법(Declarative),372,26.12359550561798
춘추좌씨전4,추측 양태(Epistemic),229,16.081460674157302
춘추좌씨전4,의문 서법(Interrogative),196,13.764044943820226
춘추좌씨전4,회상상(Retrospective),55,3.8623595505617976
춘추좌씨전5,당위 양태(Deontic),763,37.6232741617357
춘추좌씨전5,서술 서법(Declarative),588,28.994082840236686
춘추좌씨전5,추측 양태(Epistemic),317,15.631163708086785
춘추좌씨전5,의문 서법(Interrogative),308,15.187376725838265
춘추좌씨전5,회상상(Retrospective),52,2.564102564102564
춘추좌씨전6,서술 서법(Declarative),485,27.416619559072924
춘추좌씨전6,당위 양태(Deontic),700,39.5703787450537
춘추좌씨전6,추측 양태(Epistemic),250,14.132278123233466
춘추좌씨전6,의문 서법(Interrogative),267,15.093273035613342
춘추좌씨전6,회상상(Retrospective),67,3.7874505370265688
당송팔대가문초소식1,추측 양태(Epistemic),254,12.58048538880634
당송팔대가문초소식1,의문 서법(Interrogative),277,13.719663199603765
당송팔대가문초소식1,서술 서법(Declarative),802,39.722634967805845
당송팔대가문초소식1,당위 양태(Deontic),600,29.71768202080238
당송팔대가문초소식1,회상상(Retrospective),86,4.259534422981674
당송팔대가문초소식5,당위 양태(Deontic),778,44.919168591224015
당송팔대가문초소식5,서술 서법(Declarative),584,33.71824480369515
당송팔대가문초소식5,회상상(Retrospective),85,4.907621247113164
당송팔대가문초소식5,추측 양태(Epistemic),141,8.140877598152425
당송팔대가문초소식5,의문 서법(Interrogative),144,8.314087759815243
춘추좌씨전1,당위 양태(Deontic),326,37.86295005807201
춘추좌씨전1,서술 서법(Declarative),298,34.61091753774681
춘추좌씨전1,의문 서법(Interrogative),103,11.962833914053427
춘추좌씨전1,추측 양태(Epistemic),113,13.124274099883856
춘추좌씨전1,회상상(Retrospective),21,2.4390243902439024
춘추좌씨전7,추측 양태(Epistemic),275,16.378796902918406
춘추좌씨전7,당위 양태(Deontic),696,41.45324597974985
춘추좌씨전7,서술 서법(Declarative),409,24.359737939249555
춘추좌씨전7,의문 서법(Interrogative),236,14.05598570577725
춘추좌씨전7,회상상(Retrospective),63,3.7522334723049435
춘추좌씨전8,추측 양태(Epistemic),57,14.540816326530612
춘추좌씨전8,당위 양태(Deontic),155,39.54081632653062
춘추좌씨전8,의문 서법(Interrogative),60,15.306122448979592
춘추좌씨전8,서술 서법(Declarative),90,22.95918367346939
춘추좌씨전8,회상상(Retrospective),30,7.653061224489796
