saseo,samgyeong,other,composite_score,saseo_purity,separation,marker_diff,p6_def_score
5.0,2.0,2.0,0.4993409816390933,0.4367196367763905,0.14708259888842995,0.5855,0.8578177635362747
5.0,2.0,1.0,0.49932850291193603,0.4367196367763905,0.144976770350392,0.5855,0.8598736771656836
8.0,4.0,2.5,0.4992878765930556,0.4367196367763905,0.14402262447403097,0.5855,0.860665317766523
8.0,3.5,1.0,0.4992848360582976,0.4367196367763905,0.14134863106008708,0.5855,0.8633271490414347
7.0,3.5,2.5,0.4992268315464712,0.4367196367763905,0.14491913825120664,0.5855,0.8595246238030095
8.0,4.0,2.0,0.49920688276021086,0.4367196367763905,0.14306190463663165,0.5855,0.8613020622725435
7.0,3.5,2.0,0.4991737325643234,0.4367196367763905,0.143991335153887,0.5855,0.8602400309717383
8.0,4.0,1.8,0.49916499312637663,0.4367196367763905,0.1426376839241005,0.5855,0.8615587244497375
7.0,3.5,1.8,0.4991431166845048,0.4367196367763905,0.14358020365426244,0.5855,0.860528698952088
4.0,1.5,1.0,0.4991322387875294,0.4367196367763905,0.14646888928753463,0.5855,0.8575965017309144
4.0,1.5,1.2,0.49911769932508016,0.4367196367763905,0.14691916020204904,0.5855,0.8570880729666028
6.0,3.0,2.5,0.49909216665106326,0.4367196367763905,0.1458738097988873,0.5855,0.8580312926736974
8.0,4.0,1.5,0.4990900667447472,0.4367196367763905,0.14195085717826916,0.5855,0.8619458456690512
7.0,3.5,1.5,0.49908513875873334,0.4367196367763905,0.1429125722382141,0.5855,0.8609644186650507
4.0,1.5,1.5,0.4990808632985155,0.4367196367763905,0.14752592087378985,0.5855,0.8563339681886035
6.0,3.0,2.0,0.4990747897844908,0.4367196367763905,0.14498828118267737,0.5855,0.8588473138236171
6.0,3.0,1.8,0.49905874627291413,0.4367196367763905,0.1445943951007863,0.5855,0.8591770258592019
6.0,3.0,1.5,0.4990228613471822,0.4367196367763905,0.14395269639952163,0.5855,0.8596751848575387
7.0,3.5,1.2,0.49901022372809767,0.4367196367763905,0.14217389823672766,0.5855,0.8614034325439944
8.0,4.0,1.2,0.49899829255279127,0.4367196367763905,0.1411940629892385,0.5855,0.862335543090258
6.0,3.0,1.2,0.49897020113362245,0.4367196367763905,0.14323953713375007,0.5855,0.8601777032690713
7.0,3.5,1.0,0.4989491860603129,0.4367196367763905,0.1416352230594457,0.5855,0.8616979570501372
8.0,4.0,1.0,0.498926174288976,0.4367196367763905,0.1406443477023844,0.5855,0.8625967853218511
6.0,3.0,1.0,0.49892398686156947,0.4367196367763905,0.14271721753345376,0.5855,0.8605151657811554
7.0,4.0,2.5,0.49888410347695167,0.4367196367763905,0.1442183020627634,0.5855,0.8588545477133747
5.0,2.5,1.8,0.49886770256662494,0.4367196367763905,0.14568207922855683,0.5855,0.8573251669062745
5.0,2.5,2.0,0.49886448711870157,0.4367196367763905,0.14605340183052734,0.5855,0.8569409825126102
5.0,2.5,1.5,0.4988612439656538,0.4367196367763905,0.145075005839744,0.5855,0.8579064058912028
5.0,2.5,1.2,0.498838566532132,0.4367196367763905,0.14439701977618286,0.5855,0.8584936822206766
5.0,2.5,2.5,0.49883506447593984,0.4367196367763905,0.14688478936232943,0.5855,0.8559919044097614
7.0,4.0,2.0,0.49882202601094106,0.4367196367763905,0.1432811558436586,0.5855,0.8595433840684369
5.0,2.5,1.0,0.4988125631911552,0.4367196367763905,0.1438980881657091,0.5855,0.858888600467243
7.0,4.0,1.8,0.4987878419819005,0.4367196367763905,0.14286654923681252,0.5855,0.8598212545591211
7.0,4.0,1.5,0.4987245755697566,0.4367196367763905,0.14219414462745503,0.5855,0.8602405935199028
6.0,3.5,2.5,0.49871722981982775,0.4367196367763905,0.14509029360722886,0.5855,0.8573150615404137
6.0,3.5,2.0,0.49868778506951494,0.4367196367763905,0.14419101472943294,0.5855,0.8580965614169581
6.0,3.5,1.8,0.4986668787849435,0.4367196367763905,0.1437917406908373,0.5855,0.858412210317268
7.0,4.0,1.2,0.4986445054954237,0.4367196367763905,0.14145145583072935,0.5855,0.8606630020192968
6.0,3.5,1.5,0.4986236941525788,0.4367196367763905,0.14314221637069843,0.5855,0.8588889961079481
3.0,1.0,1.0,0.49860675757814243,0.4367196367763905,0.14811837246535528,0.5855,0.8538450937155457
7.0,4.0,1.0,0.4985801498553185,0.4367196367763905,0.14091070562051147,0.5855,0.8609463296690939
6.0,3.5,1.2,0.4985637786233532,0.4367196367763905,0.14242174885327163,0.5855,0.8593698015084726
4.0,2.0,1.0,0.49853815940017876,0.4367196367763905,0.14517823435977048,0.5855,0.856510839109276
4.0,2.0,1.2,0.49853578295855905,0.4367196367763905,0.14564432541181635,0.5855,0.8560352422907515
4.0,2.0,1.5,0.4985168191614445,0.4367196367763905,0.14627431877368507,0.5855,0.8553293937404246
6.0,3.5,1.0,0.4985127940052019,0.4367196367763905,0.14189501515752556,0.5855,0.8596925967316132
4.0,2.0,1.8,0.49848284567749723,0.4367196367763905,0.14683536968750074,0.5855,0.8546324488908196
4.0,2.0,2.0,0.49845336532553375,0.4367196367763905,0.14717721452536076,0.5855,0.8541726826451054
5.0,3.0,2.0,0.49843787720100624,0.4367196367763905,0.14514904430030182,0.5855,0.8561389003720545
5.0,3.0,1.8,0.4984343374705294,0.4367196367763905,0.14476975136390394,0.5855,0.8565040343865451
5.0,3.0,2.5,0.4984250214715792,0.4367196367763905,0.14600009508698722,0.5855,0.8552364266676608
5.0,3.0,1.5,0.49841763002592127,0.4367196367763905,0.14415070680088174,0.5855,0.8570562491711347
5.0,3.0,1.2,0.49838460351428354,0.4367196367763905,0.14346089767688222,0.5855,0.8576139522485835
6.0,4.0,2.5,0.49837274513924246,0.4367196367763905,0.1443788670874768,0.5855,0.8566485493378244
5.0,3.0,1.0,0.4983516801348278,0.4367196367763905,0.14295431251675847,0.5855,0.857988843890884
6.0,4.0,2.0,0.49833249164220983,0.4367196367763905,0.14346812870104234,0.5855,0.8573982737361282
6.0,4.0,1.8,0.49830724586810504,0.4367196367763905,0.14306443334254607,0.5855,0.8577009859982057
6.0,4.0,1.5,0.49825756931256826,0.4367196367763905,0.14240859379204698,0.5855,0.8581581193265575
6.0,4.0,1.2,0.49819123538970655,0.4367196367763905,0.14168240696722859,0.5855,0.8586189704599293
6.0,4.0,1.0,0.49813605530416255,0.4367196367763905,0.1411523646306776,0.5855,0.858928292454304
5.0,3.5,2.5,0.49805355267990603,0.4367196367763905,0.14520844344060205,0.5855,0.8545422031473534
5.0,3.5,2.0,0.49805173781330087,0.4367196367763905,0.14434102612306676,0.5855,0.855402360998468
5.0,3.5,1.8,0.4980422348845649,0.4367196367763905,0.14395516297145355,0.5855,0.8557502124351376
4.0,2.5,1.2,0.4980288656025052,0.4367196367763905,0.1445588011466227,0.5855,0.8550930971317297
4.0,2.5,1.5,0.4980250850859247,0.4367196367763905,0.1452069799550006,0.5855,0.8544297962570296
4.0,2.5,1.0,0.4980209477891756,0.4367196367763905,0.1440804509907638,0.5855,0.85553977603427
5.0,3.5,1.5,0.49801650613329973,0.4367196367763905,0.14332634777664385,0.5855,0.8562761126248865
4.0,2.5,1.8,0.49800594730937014,0.4367196367763905,0.14578579728387112,0.5855,0.8537744278219408
4.0,2.5,2.0,0.49798615505897037,0.4367196367763905,0.14613920365230404,0.5855,0.8533418524519089
5.0,3.5,1.2,0.49797440965750706,0.4367196367763905,0.1426270511907594,0.5855,0.8568070233076002
5.0,3.5,1.0,0.4979354500232419,0.4367196367763905,0.14211445311775808,0.5855,0.8571637828435411
3.0,1.5,1.0,0.49792474269128234,0.4367196367763905,0.14653015592239368,0.5855,0.8527052507110671
4.0,2.5,2.5,0.49791696641923144,0.4367196367763905,0.1469290066833113,0.5855,0.8522752948619459
3.0,1.5,1.2,0.49788070030165044,0.4367196367763905,0.14695054487725004,0.5855,0.8521086921976831
3.0,1.5,1.5,0.49780125740540465,0.4367196367763905,0.14751534180590545,0.5855,0.8512261236840446
5.0,4.0,2.5,0.4977141552757621,0.4367196367763905,0.14449098262487636,0.5855,0.8539020743465036
5.0,4.0,2.0,0.4976992470017783,0.4367196367763905,0.14360977794110485,0.5855,0.8547236459343399
5.0,4.0,1.8,0.4976844391664387,0.4367196367763905,0.14321844207384282,0.5855,0.8550557504602434
5.0,4.0,1.5,0.4976507089343174,0.4367196367763905,0.1425815836596162,0.5855,0.8555576879459846
5.0,4.0,1.2,0.4976006043848609,0.4367196367763905,0.14187463579700485,0.5855,0.8560642176107702
4.0,3.0,1.5,0.49758927363840766,0.4367196367763905,0.1442739925838283,0.5855,0.8536195378381338
4.0,3.0,1.8,0.4975829855295809,0.4367196367763905,0.14486724548382593,0.5855,0.8530011325028289
4.0,3.0,1.2,0.497579951738075,0.4367196367763905,0.1436111884081517,0.5855,0.8542450544124798
4.0,3.0,2.0,0.49757160542295986,0.4367196367763905,0.1452301042514272,0.5855,0.8525927533087437
4.0,3.0,1.0,0.49756318490997714,0.4367196367763905,0.14312309855114133,0.5855,0.8546660769570986
5.0,4.0,1.0,0.4975563415554327,0.4367196367763905,0.14135731560927722,0.5855,0.8564044864807848
4.0,3.0,2.5,0.49752288565016356,0.4367196367763905,0.14604280920514878,0.5855,0.8515851692638366
3.0,2.0,1.0,0.4973548580865148,0.4367196367763905,0.14523645704566765,0.5855,0.8517194111687229
