marker,count,doc_freq,num_groups,top_groups,x,y,dominant,method,group_level,reweight_by_corpus
도,1004,927,145,p3_c8:55;p9_c8:39;p9_c7:38;p3_c12:32;p2_c12:29,-0.26276186,-0.031623032,p3_c8,pca,parent_child,none
잇가,985,934,108,p0_c3:111;p9_c7:55;p3_c12:49;p9_c8:45;p12_c4:34,-0.046931922,0.23421471,p0_c3,pca,parent_child,none
하니이다,984,933,102,p3_c3:110;p0_c2:96;p14_c8:83;p9_c5:62;p2_c1:57,-0.030837184,0.47393942,p3_c3,pca,parent_child,none
이리오,960,935,137,p12_c4:61;p0_c3:53;p5_c14:50;p3_c12:48;p9_c7:42,-0.025692439,-0.07040386,p12_c4,pca,parent_child,none
라하니라,950,936,137,p6_c1:48;p11_c7:42;p13_c9:36;p5_c6:27;p11_c10:23,-0.017455025,-0.36323056,p6_c1,pca,parent_child,none
라가,928,878,126,p14_c4:66;p14_c8:55;p14_c12:39;p14_c3:37;p11_c10:33,0.19916676,-0.06643881,p14_c4,pca,parent_child,none
하되,902,853,124,p2_c1:43;p2_c12:41;p14_c8:30;p3_c4:30;p9_c5:30,-0.095070474,0.022910286,p2_c1,pca,parent_child,none
며,887,784,132,p9_c7:44;p3_c12:42;p3_c4:29;p13_c9:27;p3_c8:27,-0.32223368,-0.06722354,p9_c7,pca,parent_child,none
이라가,841,809,115,p14_c4:67;p14_c8:48;p14_c3:37;p14_c12:34;p2_c13:27,0.22400358,-0.075418845,p14_c4,pca,parent_child,none
하노라,827,806,129,p12_c10:63;p11_c15:53;p5_c2:32;p5_c10:22;p5_c14:20,0.18535516,-0.14283222,p12_c10,pca,parent_child,none
어든,824,762,135,p2_c12:47;p9_c7:43;p9_c8:28;p3_c12:25;p3_c4:19,-0.12037033,-0.06308873,p2_c12,pca,parent_child,none
하리니,821,804,118,p2_c12:61;p9_c8:52;p9_c5:42;p13_c2:36;p9_c7:34,-0.11555584,0.082607426,p2_c12,pca,parent_child,none
러라,792,778,101,p14_c8:52;p14_c2:51;p14_c12:49;p5_c3:44;p2_c13:41,0.32513255,-0.15416062,p14_c8,pca,parent_child,none
호대,766,685,131,p9_c0:38;p11_c7:28;p9_c1:24;p11_c15:21;p13_c0:21,-0.025837896,-0.20246899,p9_c0,pca,parent_child,none
하시고,747,639,107,p3_c3:54;p9_c5:52;p14_c8:46;p3_c14:28;p3_c1:27,-0.09126279,0.14379352,p3_c3,pca,parent_child,none
컨대,701,690,124,p3_c8:41;p3_c4:27;p3_c13:23;p0_c5:21;p3_c1:21,-0.19625361,0.03884498,p3_c8,pca,parent_child,none
어니와,675,670,130,p9_c7:41;p2_c12:21;p3_c12:19;p3_c4:19;p9_c15:19,-0.23435424,-0.060312532,p9_c7,pca,parent_child,none
하소서,662,630,112,p14_c8:28;p12_c4:26;p5_c2:26;p11_c15:23;p12_c10:22,0.096531354,0.17593195,p14_c8,pca,parent_child,none
이라하고,661,615,99,p11_c10:69;p11_c7:37;p3_c4:32;p11_c4:29;p3_c6:28,0.27143663,-0.117543735,p11_c10,pca,parent_child,none
하리라,658,634,113,p11_c15:63;p11_c2:24;p11_c13:22;p11_c11:20;p12_c10:20,0.21289945,-0.114192456,p11_c15,pca,parent_child,none
