marker,count,doc_freq,num_groups,top_groups,x,y,dominant,method,group_level,reweight_by_corpus
이리이다,148,146,11,p0:51;p9:37;p3:15;p2:13;p11:10,0.0012567565,0.40467787,p0,pca,parent,none
아하고,145,143,13,p11:68;p3:14;p5:13;p14:12;p9:10,0.37274894,-0.017247189,p11,pca,parent,none
온,144,143,14,p9:30;p0:29;p3:19;p1:16;p2:11,-0.13772288,0.17631589,p9,pca,parent,none
아하니,143,142,14,p11:59;p3:18;p5:13;p2:12;p1:8,0.19262964,-0.19839221,p11,pca,parent,none
라하야늘,142,139,13,p11:63;p5:16;p14:13;p0:12;p3:9,0.38833827,-0.07120287,p11,pca,parent,none
이리니,141,141,11,p9:41;p0:29;p11:21;p3:19;p7:9,-0.061427653,0.26130316,p9,pca,parent,none
하시니이다,137,134,12,p0:34;p9:31;p14:26;p3:24;p1:5,-0.025321104,0.40125218,p0,pca,parent,none
오하니,130,130,12,p11:51;p3:16;p5:16;p12:12;p9:7,0.31190988,-0.051828705,p11,pca,parent,none
이라하시니,128,126,13,p3:34;p13:20;p1:14;p11:12;p9:11,-0.19957653,-0.08813791,p3,pca,parent,none
릿가,125,122,11,p11:33;p0:21;p7:20;p3:15;p9:15,0.24755687,0.1860875,p11,pca,parent,none
이리잇가,123,119,9,p0:43;p9:33;p3:13;p1:8;p2:8,-0.078928284,0.4524014,p0,pca,parent,none
호리라,122,118,15,p11:36;p12:14;p5:12;p6:9;p2:8,0.20685288,-0.2638501,p11,pca,parent,none
이여,120,118,12,p12:63;p5:20;p3:13;p8:5;p13:4,0.07952514,-0.22678871,p12,pca,parent,none
라하시니라,114,114,13,p8:20;p2:19;p13:18;p11:11;p6:9,-0.26422018,-0.40624806,p8,pca,parent,none
시니,111,111,13,p13:16;p3:14;p1:12;p2:10;p9:10,-0.25146973,-0.19334528,p13,pca,parent,none
어다,110,108,16,p12:27;p5:16;p2:14;p0:10;p1:10,0.0013811588,-0.23281468,p12,pca,parent,none
이로소이다,106,101,10,p0:30;p9:25;p14:13;p3:12;p5:9,0.07018902,0.36309707,p0,pca,parent,none
에는,105,93,13,p9:24;p3:19;p0:15;p4:11;p13:9,-0.25525934,0.104220554,p9,pca,parent,none
이라하니이다,105,105,11,p0:31;p3:24;p11:20;p14:10;p9:8,0.18304071,0.26847354,p0,pca,parent,none
이라한대,104,103,13,p11:46;p2:22;p14:8;p3:7;p5:5,0.35613903,-0.081600346,p11,pca,parent,none
하나,99,94,14,p3:18;p9:13;p13:11;p2:10;p0:8,-0.2131187,-0.103414096,p3,pca,parent,none
하야도,98,98,12,p3:23;p14:20;p9:18;p5:8;p1:6,-0.014123976,0.11661862,p3,pca,parent,none
커늘,96,95,11,p11:22;p5:18;p14:16;p2:10;p3:7,0.5005485,-0.13150138,p11,pca,parent,none
이릿가,95,91,11,p11:22;p9:15;p5:13;p3:12;p0:11,0.1715968,0.108294606,p11,pca,parent,none
이어시늘,91,87,13,p3:24;p2:20;p11:10;p0:8;p5:6,0.095964864,-0.034457117,p3,pca,parent,none
하오니,91,88,10,p0:25;p9:24;p3:18;p14:8;p2:6,-0.051688902,0.42342064,p0,pca,parent,none
하신대,88,86,12,p3:21;p2:16;p11:14;p5:9;p7:8,0.2464757,-0.09642323,p3,pca,parent,none
