,라,하고,하여,하니,에,이,는,하야,하다,은,이라,니,로,요,이요,이면,면,이니,니라,하며,가,어늘,한대,아,이나,이어늘,니이다,하니라,으로,러니,이러니,나,를,오,리오,하면,을,호되,로다,라하니,과,로되,이니이다,이니라,러라,할새,이라하니,와,리라,하시니
今,358,524,525,720,732,536,488,358,8,323,140,96,101,76,65,140,151,51,37,16,111,57,5,58,72,52,47,76,92,1,4,77,43,22,13,98,28,10,17,19,14,53,18,7,0,2,11,19,7,37
亦,1512,247,340,471,40,82,34,228,160,28,442,314,39,140,77,13,23,153,340,48,16,70,17,278,47,34,194,98,25,37,43,63,7,19,64,4,8,29,100,42,9,50,61,86,58,1,31,5,111,22
在,622,486,529,855,558,107,206,237,51,105,353,180,49,152,144,97,97,100,133,79,41,74,20,55,49,65,81,85,11,55,44,44,49,47,26,42,11,7,46,46,13,30,39,35,12,11,50,8,15,23
于,306,730,536,868,178,107,137,510,1157,99,180,72,28,31,35,38,47,45,26,117,45,60,93,18,31,61,12,86,11,63,57,26,12,5,7,34,7,20,60,38,10,13,6,17,2,79,45,11,4,43
相,555,586,630,687,205,324,137,419,226,143,269,109,44,71,64,79,74,91,80,107,45,49,56,48,56,70,48,67,28,37,88,31,23,14,19,37,21,31,7,20,26,41,18,20,26,17,19,20,12,20
月,125,128,98,141,5225,47,49,85,122,82,137,33,81,32,35,35,10,41,12,27,6,13,5,4,4,14,7,23,20,9,5,6,7,1,2,6,16,3,2,3,10,6,10,7,3,2,14,6,4,1
時,678,317,647,323,1630,288,168,478,35,51,165,148,83,119,40,53,112,46,71,75,61,47,12,38,41,25,53,32,22,25,27,67,39,15,16,31,11,22,9,20,14,37,9,13,22,8,17,16,3,9
見,661,916,320,552,256,190,128,266,101,90,321,104,34,91,103,103,79,96,95,56,55,50,96,48,52,59,40,167,18,27,44,26,22,7,19,46,17,19,30,27,21,27,25,34,24,24,22,14,28,10
非,1486,195,149,134,44,83,96,104,6,43,288,329,28,487,253,321,318,168,290,45,31,63,3,184,72,35,251,8,11,9,5,99,36,41,30,2,9,4,29,40,12,99,32,14,4,0,10,23,15,8
未,1070,449,251,573,504,58,122,162,61,33,382,170,57,169,106,87,70,71,203,50,6,84,11,46,127,101,233,36,14,71,103,95,19,9,6,8,14,6,28,33,4,55,49,28,36,3,18,11,15,29
兵,229,771,1019,692,233,562,131,497,435,168,196,55,45,37,67,110,48,64,16,43,36,95,132,8,53,143,41,25,77,83,82,19,21,4,8,43,28,28,1,10,33,14,30,20,16,54,13,8,4,6
文,521,493,416,407,341,492,219,338,129,361,336,97,81,94,94,66,38,81,62,55,80,39,35,29,70,39,18,112,69,33,48,51,28,5,12,27,43,20,9,23,45,27,3,24,8,16,21,20,1,17
用,581,576,493,505,142,244,227,381,122,166,323,126,59,94,130,169,101,135,74,101,34,33,30,64,73,50,60,63,21,23,50,29,29,21,73,38,30,7,8,23,31,21,50,49,19,9,27,14,26,30
太,207,723,685,380,318,611,160,281,650,129,200,37,107,75,87,20,18,26,14,19,127,62,106,16,16,40,24,42,98,70,59,20,11,7,9,11,11,32,8,20,57,16,14,5,12,49,8,37,2,14
書,256,670,588,428,380,253,283,389,359,75,123,46,72,59,55,21,37,21,30,38,58,48,106,20,20,26,10,78,42,47,26,31,39,12,9,25,15,63,8,24,37,26,0,4,15,19,13,48,3,8
