w_saseo,w_samgyeong,w_other_gyeong,avg_entropy,original_canonicity
4.0,3.5,1.0,3.934625848925384,11.03328292189259
4.0,3.5,1.5,3.948270864495586,11.03328292189259
4.0,3.5,2.0,3.9453301349114134,11.03328292189259
4.0,3.5,2.5,3.933352946036931,11.03328292189259
4.0,3.5,3.0,3.916200564656439,11.03328292189259
4.0,4.0,1.0,3.9114201307494745,11.03328292189259
4.0,4.0,1.5,3.928374737451215,11.03328292189259
4.0,4.0,2.0,3.928536522921446,11.03328292189259
4.0,4.0,2.5,3.9193445864292014,11.03328292189259
4.0,4.0,3.0,3.904655244323777,11.03328292189259
5.0,1.0,1.0,3.9007761312558378,11.03328292189259
5.0,1.5,1.0,3.9109055421052776,11.03328292189259
5.0,1.5,1.5,3.9180612480969956,11.03328292189259
5.0,2.0,1.0,3.909262326489995,11.03328292189259
5.0,2.0,1.5,3.919844963585759,11.03328292189259
5.0,2.0,2.0,3.914239727396052,11.03328292189259
5.0,2.5,1.0,3.9003892333587213,11.03328292189259
5.0,2.5,1.5,3.914276566652272,11.03328292189259
5.0,2.5,2.0,3.911690707726877,11.03328292189259
5.0,2.5,2.5,3.9001317857919293,11.03328292189259
5.0,3.0,1.0,3.8867998986859233,11.03328292189259
5.0,3.0,1.5,3.9037968040085183,11.03328292189259
5.0,3.0,2.0,3.9041119655236285,11.03328292189259
5.0,3.0,2.5,3.8951363115320072,11.03328292189259
5.0,3.0,3.0,3.8807024653235658,11.03328292189259
5.0,3.5,1.0,3.870029746760574,11.03328292189259
5.0,3.5,1.5,3.889918860203479,11.03328292189259
5.0,3.5,2.0,3.892983346486505,11.03328292189259
5.0,3.5,2.5,3.8864933973873934,11.03328292189259
5.0,3.5,3.0,3.8742661485181844,11.03328292189259
5.0,4.0,1.0,3.8510771034306925,11.03328292189259
5.0,4.0,1.5,3.8736409264771736,11.03328292189259
5.0,4.0,2.0,3.87929197744397,11.03328292189259
5.0,4.0,2.5,3.875172481591967,11.03328292189259
5.0,4.0,3.0,3.865073859053446,11.03328292189259
6.0,1.0,1.0,3.8198986275333517,11.03328292189259
6.0,1.5,1.0,3.833119024534479,11.03328292189259
6.0,1.5,1.5,3.8479252013852827,11.03328292189259
6.0,2.0,1.0,3.8350884002798002,11.03328292189259
6.0,2.0,1.5,3.852600075557028,11.03328292189259
6.0,2.0,2.0,3.8535528696429715,11.03328292189259
6.0,2.5,1.0,3.8299975942978155,11.03328292189259
6.0,2.5,1.5,3.8501519503148156,11.03328292189259
6.0,2.5,2.0,3.853597125167217,11.03328292189259
6.0,2.5,2.5,3.847562038817688,11.03328292189259
6.0,3.0,1.0,3.8201927541285965,11.03328292189259
6.0,3.0,1.5,3.842853764760706,11.03328292189259
6.0,3.0,2.0,3.8487107570775354,11.03328292189259
6.0,3.0,2.5,3.8448667859280565,11.03328292189259
6.0,3.0,3.0,3.8350896620666477,11.03328292189259
6.0,3.5,1.0,3.8071252246654614,11.03328292189259
6.0,3.5,1.5,3.8321305375508796,11.03328292189259
6.0,3.5,2.0,3.840284903948371,11.03328292189259
6.0,3.5,2.5,3.838559281379098,11.03328292189259
6.0,3.5,3.0,3.8306900672472444,11.03328292189259
6.0,4.0,1.0,3.791751135330814,11.03328292189259
6.0,4.0,1.5,3.818933180018475,11.03328292189259
6.0,4.0,2.0,3.8292573293517145,11.03328292189259
6.0,4.0,2.5,3.8295592306748465,11.03328292189259
6.0,4.0,3.0,3.823536846019618,11.03328292189259
7.0,1.0,1.0,3.744701415616477,11.03328292189259
7.0,1.5,1.0,3.7603719251247236,11.03328292189259
7.0,1.5,1.5,3.7813900809321743,11.03328292189259
7.0,2.0,1.0,3.7652685399122428,11.03328292189259
7.0,2.0,1.5,3.788424194221559,11.03328292189259
7.0,2.0,2.0,3.794893637648367,11.03328292189259
7.0,2.5,1.0,3.7632905589008026,11.03328292189259
7.0,2.5,1.5,3.7885656030790997,11.03328292189259
7.0,2.5,2.0,3.797099583796119,11.03328292189259
7.0,2.5,2.5,3.7958320730074036,11.03328292189259
7.0,3.0,1.0,3.7566395720684613,11.03328292189259
7.0,3.0,1.5,3.783943151721518,11.03328292189259
7.0,3.0,2.0,3.7944907022512444,11.03328292189259
7.0,3.0,2.5,3.7950883755336284,11.03328292189259
7.0,3.0,3.0,3.7894125737463042,11.03328292189259
7.0,3.5,1.0,3.746690405048423,11.03328292189259
7.0,3.5,1.5,3.775902521807886,11.03328292189259
7.0,3.5,2.0,3.788378605217334,11.03328292189259
7.0,3.5,2.5,3.790788668884555,11.03328292189259
7.0,3.5,3.0,3.786767796894938,11.03328292189259
7.0,4.0,1.0,3.7343578418442553,11.03328292189259
7.0,4.0,1.5,3.765349520277888,11.03328292189259
7.0,4.0,2.0,3.7796544281072935,11.03328292189259
7.0,4.0,2.5,3.7838058236401735,11.03328292189259
7.0,4.0,3.0,3.781392707420559,11.03328292189259
