표층형,*,*,*,품사태그,의미부류,종성 유무,읽기,*,*,*,*,*
假計定,*,*,*,NNG,*,T,가계정,*,*,*,*,*
家計調査,*,*,*,NNG,*,F,가계조사,*,*,*,*,*
家計綜合預金,*,*,*,NNG,*,T,가계종합예금,*,*,*,*,*
가계紬,*,*,*,NNG,*,F,가계주,*,*,*,*,*
家系表,*,*,*,NNG,*,F,가계표,*,*,*,*,*
加計하다,*,*,*,VV,*,F,가계하다,*,*,*,*,*
加筓하다,*,*,*,VV,*,F,가계하다,*,*,*,*,*
加計하다,*,*,*,VV,*,F,가계하다,*,*,*,*,*
加階하다,*,*,*,VV,*,F,가계하다,*,*,*,*,*
加髻하다,*,*,*,VV,*,F,가계하다,*,*,*,*,*
可考,*,*,*,NNG,*,F,가고,*,*,*,*,*
歌稿,*,*,*,NNG,*,F,가고,*,*,*,*,*
加鼓,*,*,*,NNG,*,F,가고,*,*,*,*,*
家故,*,*,*,NNG,*,F,가고,*,*,*,*,*
可考件,*,*,*,NNG,*,T,가고건,*,*,*,*,*
可考文籍,*,*,*,NNG,*,T,가고문적,*,*,*,*,*
可考文獻,*,*,*,NNG,*,T,가고문헌,*,*,*,*,*
鹿兒島縣,*,*,*,NNG,*,T,가고시마현,*,*,*,*,*
可考處,*,*,*,NNG,*,F,가고처,*,*,*,*,*
可考하다,*,*,*,VA,*,F,가고하다,*,*,*,*,*
加辜限,*,*,*,NNG,*,T,가고한,*,*,*,*,*
嘉穀,*,*,*,NNG,*,T,가곡,*,*,*,*,*
歌曲,*,*,*,NNG,*,T,가곡,*,*,*,*,*
歌曲,*,*,*,NNG,*,T,가곡,*,*,*,*,*
嘉穀,*,*,*,NNG,*,T,가곡,*,*,*,*,*
歌曲譜,*,*,*,NNG,*,F,가곡보,*,*,*,*,*
歌曲選,*,*,*,NNG,*,T,가곡선,*,*,*,*,*
歌曲源流,*,*,*,NNG,*,F,가곡원류,*,*,*,*,*
歌曲장단,*,*,*,NNG,*,T,가곡장단,*,*,*,*,*
歌曲集,*,*,*,NNG,*,T,가곡집,*,*,*,*,*
歌曲形式,*,*,*,NNG,*,T,가곡형식,*,*,*,*,*
假骨,*,*,*,NNG,*,T,가골,*,*,*,*,*
架空,*,*,*,NNG,*,T,가공,*,*,*,*,*
歌工,*,*,*,NNG,*,T,가공,*,*,*,*,*
架空,*,*,*,NNG,*,T,가공,*,*,*,*,*
加工,*,*,*,NNG,*,T,가공,*,*,*,*,*
加工,*,*,*,NNG,*,T,가공,*,*,*,*,*
加功,*,*,*,NNG,*,T,가공,*,*,*,*,*
可恐,*,*,*,NNG,*,T,가공,*,*,*,*,*
