표층형,*,*,*,품사태그,의미부류,종성 유무,읽기,*,*,*,*,*
自主精神,*,*,*,NNG,*,T,자주정신,*,*,*,*,*
紫朱鐘덩굴,*,*,*,NNG,*,T,자주종덩굴,*,*,*,*,*
自主判斷,*,*,*,NNG,*,T,자주판단,*,*,*,*,*
自走砲,*,*,*,NNG,*,F,자주포,*,*,*,*,*
紫朱poa풀,*,*,*,NNG,*,T,자주포아풀,*,*,*,*,*
自註하다,*,*,*,VV,*,F,자주하다,*,*,*,*,*
自主하다,*,*,*,VV,*,F,자주하다,*,*,*,*,*
自主하다,*,*,*,VV,*,F,자주하다,*,*,*,*,*
紫朱湖畔새,*,*,*,NNG,*,F,자주호반새,*,*,*,*,*
紫朱黃芪,*,*,*,NNG,*,F,자주황기,*,*,*,*,*
紫竹,*,*,*,NNG,*,T,자죽,*,*,*,*,*
紫朱물,*,*,*,NNG,*,T,자줏물,*,*,*,*,*
紫朱빛,*,*,*,NNG,*,T,자줏빛,*,*,*,*,*
紫朱빛쐐기나방,*,*,*,NNG,*,T,자줏빛쐐기나방,*,*,*,*,*
藉重,*,*,*,NNG,*,T,자중,*,*,*,*,*
自重,*,*,*,NNG,*,T,자중,*,*,*,*,*
自重,*,*,*,NNG,*,T,자중,*,*,*,*,*
自重,*,*,*,NNG,*,T,자중,*,*,*,*,*
自重心,*,*,*,NNG,*,T,자중심,*,*,*,*,*
自重運搬,*,*,*,NNG,*,T,자중운반,*,*,*,*,*
自重自愛,*,*,*,NNG,*,F,자중자애,*,*,*,*,*
自重自愛,*,*,*,NNG,*,F,자중자애,*,*,*,*,*
自重自愛하다,*,*,*,VV,*,F,자중자애하다,*,*,*,*,*
自重自愛하다,*,*,*,VV,*,F,자중자애하다,*,*,*,*,*
自中之亂,*,*,*,NNG,*,T,자중지란,*,*,*,*,*
自重하다,*,*,*,VV,*,F,자중하다,*,*,*,*,*
自重하다,*,*,*,VV,*,F,자중하다,*,*,*,*,*
藉重하다,*,*,*,VV,*,F,자중하다,*,*,*,*,*
煮汁,*,*,*,NNG,*,T,자즙,*,*,*,*,*
自證,*,*,*,NNG,*,T,자증,*,*,*,*,*
自證,*,*,*,NNG,*,T,자증,*,*,*,*,*
自證灌頂,*,*,*,NNG,*,T,자증관정,*,*,*,*,*
自證極位,*,*,*,NNG,*,F,자증극위,*,*,*,*,*
自證分,*,*,*,NNG,*,T,자증분,*,*,*,*,*
自證壽,*,*,*,NNG,*,F,자증수,*,*,*,*,*
自證하다,*,*,*,VV,*,F,자증하다,*,*,*,*,*
自證하다,*,*,*,VV,*,F,자증하다,*,*,*,*,*
慈旨,*,*,*,NNG,*,F,자지,*,*,*,*,*
慈旨,*,*,*,NNG,*,F,자지,*,*,*,*,*
自持,*,*,*,NNG,*,F,자지,*,*,*,*,*
自知,*,*,*,NNG,*,F,자지,*,*,*,*,*
紫芝,*,*,*,NNG,*,F,자지,*,*,*,*,*
子枝,*,*,*,NNG,*,F,자지,*,*,*,*,*
紫地,*,*,*,NNG,*,F,자지,*,*,*,*,*
自持,*,*,*,NNG,*,F,자지,*,*,*,*,*
紫芝蓋,*,*,*,NNG,*,F,자지개,*,*,*,*,*
子持曲玉,*,*,*,NNG,*,T,자지곡옥,*,*,*,*,*
自知其罪,*,*,*,NNG,*,F,자지기죄,*,*,*,*,*
自知其罪하다,*,*,*,VV,*,F,자지기죄하다,*,*,*,*,*
者只島,*,*,*,NNG,*,F,자지도,*,*,*,*,*
字紙爐,*,*,*,NNG,*,F,자지로,*,*,*,*,*
柘枝舞,*,*,*,NNG,*,F,자지무,*,*,*,*,*
自持飯,*,*,*,NNG,*,T,자지반,*,*,*,*,*
自持飯하다,*,*,*,VV,*,F,자지반하다,*,*,*,*,*
自持하다,*,*,*,VV,*,F,자지하다,*,*,*,*,*
自持하다,*,*,*,VV,*,F,자지하다,*,*,*,*,*
自知하다,*,*,*,VV,*,F,자지하다,*,*,*,*,*
自進,*,*,*,NNG,*,T,자진,*,*,*,*,*
自盡,*,*,*,NNG,*,T,자진,*,*,*,*,*
自盡,*,*,*,NNG,*,T,자진,*,*,*,*,*
自盡,*,*,*,NNG,*,T,자진,*,*,*,*,*
自盡,*,*,*,NNG,*,T,자진,*,*,*,*,*
자진난봉歌,*,*,*,NNG,*,F,자진난봉가,*,*,*,*,*
자진農夫歌,*,*,*,NNG,*,F,자진농부가,*,*,*,*,*
자진山타령,*,*,*,NNG,*,T,자진산타령,*,*,*,*,*
자진山타령,*,*,*,NNG,*,T,자진산타령,*,*,*,*,*
자진煞풀이장단,*,*,*,NNG,*,T,자진살풀이장단,*,*,*,*,*
자진三채장단,*,*,*,NNG,*,T,자진삼채장단,*,*,*,*,*
자진念佛,*,*,*,NNG,*,T,자진염불,*,*,*,*,*
자진念佛,*,*,*,NNG,*,T,자진염불,*,*,*,*,*
자진五채질굿장단,*,*,*,NNG,*,T,자진오채질굿장단,*,*,*,*,*
자진六字배기,*,*,*,NNG,*,F,자진육자배기,*,*,*,*,*
자진진양調장단,*,*,*,NNG,*,T,자진진양조장단,*,*,*,*,*
自盡하다,*,*,*,VV,*,F,자진하다,*,*,*,*,*
自盡하다,*,*,*,VV,*,F,자진하다,*,*,*,*,*
自盡하다,*,*,*,VV,*,F,자진하다,*,*,*,*,*
自進하다,*,*,*,VV,*,F,자진하다,*,*,*,*,*
自盡하다,*,*,*,VV,*,F,자진하다,*,*,*,*,*
資質,*,*,*,NNG,*,T,자질,*,*,*,*,*
資質,*,*,*,NNG,*,T,자질,*,*,*,*,*
子姪,*,*,*,NNG,*,T,자질,*,*,*,*,*
子姪,*,*,*,NNG,*,T,자질,*,*,*,*,*
資質,*,*,*,NNG,*,T,자질,*,*,*,*,*
紫蒺藜,*,*,*,NNG,*,F,자질려,*,*,*,*,*
資質文字,*,*,*,NNG,*,F,자질문자,*,*,*,*,*
紫芝물,*,*,*,NNG,*,T,자짓물,*,*,*,*,*
紫芝빛,*,*,*,NNG,*,T,자짓빛,*,*,*,*,*
자쪽皮膚靜脈,*,*,*,NNG,*,T,자쪽피부정맥,*,*,*,*,*
咨嗟,*,*,*,NNG,*,F,자차,*,*,*,*,*
磁差,*,*,*,NNG,*,F,자차,*,*,*,*,*
磁差,*,*,*,NNG,*,F,자차,*,*,*,*,*
磁差論,*,*,*,NNG,*,T,자차론,*,*,*,*,*
自差表,*,*,*,NNG,*,F,자차표,*,*,*,*,*
咨嗟하다,*,*,*,VV,*,F,자차하다,*,*,*,*,*
自讚,*,*,*,NNG,*,T,자찬,*,*,*,*,*
自撰,*,*,*,NNG,*,T,자찬,*,*,*,*,*
自讚歌,*,*,*,NNG,*,F,자찬가,*,*,*,*,*
自撰하다,*,*,*,VV,*,F,자찬하다,*,*,*,*,*
自讚하다,*,*,*,VV,*,F,자찬하다,*,*,*,*,*
疵瘡,*,*,*,NNG,*,T,자창,*,*,*,*,*
刺創,*,*,*,NNG,*,T,자창,*,*,*,*,*
自唱自和,*,*,*,NNG,*,F,자창자화,*,*,*,*,*
自唱自和,*,*,*,NNG,*,F,자창자화,*,*,*,*,*
自唱自和,*,*,*,NNG,*,F,자창자화,*,*,*,*,*
自唱自和하다,*,*,*,VV,*,F,자창자화하다,*,*,*,*,*
自唱自和하다,*,*,*,VV,*,F,자창자화하다,*,*,*,*,*
自唱自和하다,*,*,*,VV,*,F,자창자화하다,*,*,*,*,*
紫彩,*,*,*,NNG,*,F,자채,*,*,*,*,*
紫彩논,*,*,*,NNG,*,T,자채논,*,*,*,*,*
紫彩논,*,*,*,NNG,*,T,자채논,*,*,*,*,*
紫彩벼,*,*,*,NNG,*,F,자채벼,*,*,*,*,*
紫彩볏논,*,*,*,NNG,*,T,자채볏논,*,*,*,*,*
紫彩볏논,*,*,*,NNG,*,T,자채볏논,*,*,*,*,*
紫彩쌀,*,*,*,NNG,*,T,자채쌀,*,*,*,*,*
自責,*,*,*,NNG,*,T,자책,*,*,*,*,*
自責感,*,*,*,NNG,*,T,자책감,*,*,*,*,*
自責goal,*,*,*,NNG,*,T,자책골,*,*,*,*,*
自責觀念,*,*,*,NNG,*,T,자책관념,*,*,*,*,*
自責內訟,*,*,*,NNG,*,T,자책내송,*,*,*,*,*
自責內訟하다,*,*,*,VV,*,F,자책내송하다,*,*,*,*,*
自責點,*,*,*,NNG,*,T,자책점,*,*,*,*,*
自責하다,*,*,*,VV,*,F,자책하다,*,*,*,*,*
自處,*,*,*,NNG,*,F,자처,*,*,*,*,*
子處,*,*,*,NNG,*,F,자처,*,*,*,*,*
自處,*,*,*,NNG,*,F,자처,*,*,*,*,*
自處,*,*,*,NNG,*,F,자처,*,*,*,*,*
自處하다,*,*,*,VV,*,F,자처하다,*,*,*,*,*
自處하다,*,*,*,VV,*,F,자처하다,*,*,*,*,*
自處하다,*,*,*,VV,*,F,자처하다,*,*,*,*,*
自薦,*,*,*,NNG,*,T,자천,*,*,*,*,*
恣擅,*,*,*,NNG,*,T,자천,*,*,*,*,*
自賤拜他,*,*,*,NNG,*,F,자천배타,*,*,*,*,*
自賤拜他하다,*,*,*,VV,*,F,자천배타하다,*,*,*,*,*
自薦他薦,*,*,*,NNG,*,T,자천타천,*,*,*,*,*
自薦하다,*,*,*,VV,*,F,자천하다,*,*,*,*,*
恣擅하다,*,*,*,VV,*,F,자천하다,*,*,*,*,*
子鐵,*,*,*,NNG,*,T,자철,*,*,*,*,*
炙鐵,*,*,*,NNG,*,T,자철,*,*,*,*,*
磁鐵,*,*,*,NNG,*,T,자철,*,*,*,*,*
磁鐵鑛,*,*,*,NNG,*,T,자철광,*,*,*,*,*
磁鐵石,*,*,*,NNG,*,T,자철석,*,*,*,*,*
磁鐵玄武巖,*,*,*,NNG,*,T,자철현무암,*,*,*,*,*
自請,*,*,*,NNG,*,T,자청,*,*,*,*,*
刺靑,*,*,*,NNG,*,T,자청,*,*,*,*,*
刺靑,*,*,*,NNG,*,T,자청,*,*,*,*,*
自請하다,*,*,*,VV,*,F,자청하다,*,*,*,*,*
姿體,*,*,*,NNG,*,F,자체,*,*,*,*,*
姿體,*,*,*,NNG,*,F,자체,*,*,*,*,*
自體,*,*,*,NNG,*,F,자체,*,*,*,*,*
自體,*,*,*,NNG,*,F,자체,*,*,*,*,*
字體,*,*,*,NNG,*,F,자체,*,*,*,*,*
字體,*,*,*,NNG,*,F,자체,*,*,*,*,*
自體感應,*,*,*,NNG,*,T,자체감응,*,*,*,*,*
自體金融,*,*,*,NNG,*,T,자체금융,*,*,*,*,*
自體起動,*,*,*,NNG,*,T,자체기동,*,*,*,*,*
自體矛盾,*,*,*,NNG,*,T,자체모순,*,*,*,*,*
自體放電,*,*,*,NNG,*,T,자체방전,*,*,*,*,*
自體酸化,*,*,*,NNG,*,F,자체산화,*,*,*,*,*
自體誘導,*,*,*,NNG,*,F,자체유도,*,*,*,*,*
自體誘導起電力,*,*,*,NNG,*,T,자체유도기전력,*,*,*,*,*
自體inductance,*,*,*,NNG,*,F,자체인덕턴스,*,*,*,*,*
自體的,*,*,*,NNG,*,T,자체적,*,*,*,*,*
自體的,*,*,*,MM,*,T,자체적,*,*,*,*,*
字體整理,*,*,*,NNG,*,F,자체정리,*,*,*,*,*
自體制動,*,*,*,NNG,*,T,자체제동,*,*,*,*,*
自體制動,*,*,*,NNG,*,T,자체제동,*,*,*,*,*
自體幻覺,*,*,*,NNG,*,T,자체환각,*,*,*,*,*
自體吸收,*,*,*,NNG,*,F,자체흡수,*,*,*,*,*
自體吸收,*,*,*,NNG,*,F,자체흡수,*,*,*,*,*
自初,*,*,*,NNG,*,F,자초,*,*,*,*,*
自初,*,*,*,NNG,*,F,자초,*,*,*,*,*
自招,*,*,*,NNG,*,F,자초,*,*,*,*,*
自礁,*,*,*,NNG,*,F,자초,*,*,*,*,*
紫草,*,*,*,NNG,*,F,자초,*,*,*,*,*
紫貂,*,*,*,NNG,*,F,자초,*,*,*,*,*
紫草,*,*,*,NNG,*,F,자초,*,*,*,*,*
子初,*,*,*,NNG,*,F,자초,*,*,*,*,*
紫草根,*,*,*,NNG,*,T,자초근,*,*,*,*,*
煮硝方,*,*,*,NNG,*,T,자초방,*,*,*,*,*
紫草茸,*,*,*,NNG,*,T,자초용,*,*,*,*,*
自初至末,*,*,*,NNG,*,T,자초지말,*,*,*,*,*
刺草之臣,*,*,*,NNG,*,T,자초지신,*,*,*,*,*
自初至終,*,*,*,NNG,*,T,자초지종,*,*,*,*,*
自招하다,*,*,*,VV,*,F,자초하다,*,*,*,*,*
自礁하다,*,*,*,VV,*,F,자초하다,*,*,*,*,*
紫梢花,*,*,*,NNG,*,F,자초화,*,*,*,*,*
刺促,*,*,*,NNG,*,T,자촉,*,*,*,*,*
自觸反應,*,*,*,NNG,*,T,자촉반응,*,*,*,*,*
자鏃이음,*,*,*,NNG,*,T,자촉이음,*,*,*,*,*
慈寵,*,*,*,NNG,*,T,자총,*,*,*,*,*
慈葱,*,*,*,NNG,*,T,자총,*,*,*,*,*
紫葱,*,*,*,NNG,*,T,자총,*,*,*,*,*
自銃,*,*,*,NNG,*,T,자총,*,*,*,*,*
紫葱이,*,*,*,NNG,*,F,자총이,*,*,*,*,*
紫葱이煎,*,*,*,NNG,*,T,자총이전,*,*,*,*,*
自銃하다,*,*,*,VV,*,F,자총하다,*,*,*,*,*
齊衰,*,*,*,NNG,*,F,자최,*,*,*,*,*
齊衰親,*,*,*,NNG,*,T,자최친,*,*,*,*,*
諮諏,*,*,*,NNG,*,F,자추,*,*,*,*,*
雌雛,*,*,*,NNG,*,F,자추,*,*,*,*,*
諮諏하다,*,*,*,VV,*,F,자추하다,*,*,*,*,*
磁軸,*,*,*,NNG,*,T,자축,*,*,*,*,*
仔畜,*,*,*,NNG,*,T,자축,*,*,*,*,*
自祝,*,*,*,NNG,*,T,자축,*,*,*,*,*
孶畜,*,*,*,NNG,*,T,자축,*,*,*,*,*
自祝宴,*,*,*,NNG,*,T,자축연,*,*,*,*,*
字軸恣意幻弄,*,*,*,NNG,*,T,자축자의환롱,*,*,*,*,*
自祝하다,*,*,*,VV,*,F,자축하다,*,*,*,*,*
自祝하다,*,*,*,VV,*,F,자축하다,*,*,*,*,*
自出聲,*,*,*,NNG,*,T,자출성,*,*,*,*,*
仔蟲,*,*,*,NNG,*,T,자충,*,*,*,*,*
自充,*,*,*,NNG,*,T,자충,*,*,*,*,*
刺衝,*,*,*,NNG,*,T,자충,*,*,*,*,*
慈充,*,*,*,NNP,*,T,자충,*,*,*,*,*
自充手,*,*,*,NNG,*,F,자충수,*,*,*,*,*
自充手,*,*,*,NNG,*,F,자충수,*,*,*,*,*
自充하다,*,*,*,VV,*,F,자충하다,*,*,*,*,*
刺衝하다,*,*,*,VV,*,F,자충하다,*,*,*,*,*
自炊,*,*,*,NNG,*,F,자취,*,*,*,*,*
自取,*,*,*,NNG,*,F,자취,*,*,*,*,*
紫翠,*,*,*,NNG,*,F,자취,*,*,*,*,*
自取其禍,*,*,*,NNG,*,F,자취기화,*,*,*,*,*
自取其禍하다,*,*,*,VV,*,F,자취기화하다,*,*,*,*,*
自炊房,*,*,*,NNG,*,T,자취방,*,*,*,*,*
自炊生,*,*,*,NNG,*,T,자취생,*,*,*,*,*
自取之禍,*,*,*,NNG,*,F,자취지화,*,*,*,*,*
自取하다,*,*,*,VV,*,F,자취하다,*,*,*,*,*
自炊하다,*,*,*,VV,*,F,자취하다,*,*,*,*,*
自治,*,*,*,NNG,*,F,자치,*,*,*,*,*
自治,*,*,*,NNG,*,F,자치,*,*,*,*,*
自治,*,*,*,NNG,*,F,자치,*,*,*,*,*
自治,*,*,*,NNG,*,F,자치,*,*,*,*,*
自致,*,*,*,NNG,*,F,자치,*,*,*,*,*
雌雉歌,*,*,*,NNG,*,F,자치가,*,*,*,*,*
自治共和國,*,*,*,NNG,*,T,자치공화국,*,*,*,*,*
自治區,*,*,*,NNG,*,F,자치구,*,*,*,*,*
自治區,*,*,*,NNG,*,F,자치구,*,*,*,*,*
自治區議會,*,*,*,NNG,*,F,자치구의회,*,*,*,*,*
自治國,*,*,*,NNG,*,T,자치국,*,*,*,*,*
自治權,*,*,*,NNG,*,T,자치권,*,*,*,*,*
自治機關,*,*,*,NNG,*,T,자치기관,*,*,*,*,*
自治團,*,*,*,NNG,*,T,자치단,*,*,*,*,*
自治團體,*,*,*,NNG,*,F,자치단체,*,*,*,*,*
自治隊,*,*,*,NNG,*,F,자치대,*,*,*,*,*
自治都市,*,*,*,NNG,*,F,자치도시,*,*,*,*,*
자치同甲,*,*,*,NNG,*,T,자치동갑,*,*,*,*,*
自治領,*,*,*,NNG,*,T,자치령,*,*,*,*,*
自治法規,*,*,*,NNG,*,F,자치법규,*,*,*,*,*
自治Soviet社會主義共和國,*,*,*,NNG,*,T,자치소비에트사회주의공화국,*,*,*,*,*
自治植民地,*,*,*,NNG,*,F,자치식민지,*,*,*,*,*
自治的,*,*,*,NNG,*,T,자치적,*,*,*,*,*
自治的,*,*,*,MM,*,T,자치적,*,*,*,*,*
自治政體,*,*,*,NNG,*,F,자치정체,*,*,*,*,*
自治制,*,*,*,NNG,*,F,자치제,*,*,*,*,*
自治制度,*,*,*,NNG,*,F,자치제도,*,*,*,*,*
自治州,*,*,*,NNG,*,F,자치주,*,*,*,*,*
自治體,*,*,*,NNG,*,F,자치체,*,*,*,*,*
資治通鑑,*,*,*,NNG,*,T,자치통감,*,*,*,*,*
資治通鑑綱目,*,*,*,NNG,*,T,자치통감강목,*,*,*,*,*
自治統制,*,*,*,NNG,*,F,자치통제,*,*,*,*,*
自治派,*,*,*,NNG,*,F,자치파,*,*,*,*,*
自致하다,*,*,*,VV,*,F,자치하다,*,*,*,*,*
自治하다,*,*,*,VV,*,F,자치하다,*,*,*,*,*
自治하다,*,*,*,VV,*,F,자치하다,*,*,*,*,*
自治하다,*,*,*,VV,*,F,자치하다,*,*,*,*,*
自治行政,*,*,*,NNG,*,T,자치행정,*,*,*,*,*
自治行政,*,*,*,NNG,*,T,자치행정,*,*,*,*,*
自治活動,*,*,*,NNG,*,T,자치활동,*,*,*,*,*
自治會,*,*,*,NNG,*,F,자치회,*,*,*,*,*
慈親,*,*,*,NNG,*,T,자친,*,*,*,*,*
刺針,*,*,*,NNG,*,T,자침,*,*,*,*,*
磁針,*,*,*,NNG,*,T,자침,*,*,*,*,*
瓷枕,*,*,*,NNG,*,T,자침,*,*,*,*,*
自沈,*,*,*,NNG,*,T,자침,*,*,*,*,*
自鍼,*,*,*,NNG,*,T,자침,*,*,*,*,*
磁針路,*,*,*,NNG,*,F,자침로,*,*,*,*,*
磁針方位角,*,*,*,NNG,*,T,자침방위각,*,*,*,*,*
刺鍼法,*,*,*,NNG,*,T,자침법,*,*,*,*,*
磁針子午線,*,*,*,NNG,*,T,자침자오선,*,*,*,*,*
自鍼하다,*,*,*,VV,*,F,자침하다,*,*,*,*,*
自沈하다,*,*,*,VV,*,F,자침하다,*,*,*,*,*
磁針函,*,*,*,NNG,*,T,자침함,*,*,*,*,*
自稱,*,*,*,NNG,*,T,자칭,*,*,*,*,*
自稱,*,*,*,NNG,*,T,자칭,*,*,*,*,*
自稱,*,*,*,NNG,*,T,자칭,*,*,*,*,*
自稱,*,*,*,NNG,*,T,자칭,*,*,*,*,*
藉稱,*,*,*,NNG,*,T,자칭,*,*,*,*,*
自稱君子,*,*,*,NNG,*,F,자칭군자,*,*,*,*,*
自稱代名詞,*,*,*,NNG,*,F,자칭대명사,*,*,*,*,*
自稱王,*,*,*,NNG,*,T,자칭왕,*,*,*,*,*
自稱天子,*,*,*,NNG,*,F,자칭천자,*,*,*,*,*
自稱하다,*,*,*,VV,*,F,자칭하다,*,*,*,*,*
自稱하다,*,*,*,VV,*,F,자칭하다,*,*,*,*,*
藉稱하다,*,*,*,VV,*,F,자칭하다,*,*,*,*,*
Jacquard機,*,*,*,NNG,*,F,자카르기,*,*,*,*,*
Jacquard織,*,*,*,NNG,*,T,자카르직,*,*,*,*,*
Jacquard織機,*,*,*,NNG,*,F,자카르직기,*,*,*,*,*
Jacquard織物,*,*,*,NNG,*,T,자카르직물,*,*,*,*,*
Jacobin派,*,*,*,NNG,*,F,자코뱅파,*,*,*,*,*
Jacquerie의亂,*,*,*,NNG,*,T,자크리의난,*,*,*,*,*
自他,*,*,*,NNG,*,F,자타,*,*,*,*,*
自他,*,*,*,NNG,*,F,자타,*,*,*,*,*
自打作,*,*,*,NNG,*,T,자타작,*,*,*,*,*
自打作하다,*,*,*,VV,*,F,자타작하다,*,*,*,*,*
藉托,*,*,*,NNG,*,T,자탁,*,*,*,*,*
藉托하다,*,*,*,VV,*,F,자탁하다,*,*,*,*,*
咨歎,*,*,*,NNG,*,T,자탄,*,*,*,*,*
咨嘆,*,*,*,NNG,*,T,자탄,*,*,*,*,*
自歎,*,*,*,NNG,*,T,자탄,*,*,*,*,*
子彈,*,*,*,NNG,*,T,자탄,*,*,*,*,*
自彈,*,*,*,NNG,*,T,자탄,*,*,*,*,*
自嘆,*,*,*,NNG,*,T,자탄,*,*,*,*,*
自歎歌,*,*,*,NNG,*,F,자탄가,*,*,*,*,*
自彈自歌,*,*,*,NNG,*,F,자탄자가,*,*,*,*,*
自彈自歌,*,*,*,NNG,*,F,자탄자가,*,*,*,*,*
自彈自歌하다,*,*,*,VV,*,F,자탄자가하다,*,*,*,*,*
自彈自歌하다,*,*,*,VV,*,F,자탄자가하다,*,*,*,*,*
咨歎하다,*,*,*,VV,*,F,자탄하다,*,*,*,*,*
咨嘆하다,*,*,*,VV,*,F,자탄하다,*,*,*,*,*
自彈하다,*,*,*,VV,*,F,자탄하다,*,*,*,*,*
自歎하다,*,*,*,VV,*,F,자탄하다,*,*,*,*,*
自嘆하다,*,*,*,VV,*,F,자탄하다,*,*,*,*,*
瓷塔,*,*,*,NNG,*,T,자탑,*,*,*,*,*
字態,*,*,*,NNG,*,F,자태,*,*,*,*,*
姿態,*,*,*,NNG,*,F,자태,*,*,*,*,*
瓷胎,*,*,*,NNG,*,F,자태,*,*,*,*,*
自宅,*,*,*,NNG,*,T,자택,*,*,*,*,*
自宅生,*,*,*,NNG,*,T,자택생,*,*,*,*,*
瓷土,*,*,*,NNG,*,F,자토,*,*,*,*,*
赭土,*,*,*,NNG,*,F,자토,*,*,*,*,*
自通,*,*,*,NNG,*,T,자통,*,*,*,*,*
自通,*,*,*,NNG,*,T,자통,*,*,*,*,*
刺痛,*,*,*,NNG,*,T,자통,*,*,*,*,*
自通하다,*,*,*,VV,*,F,자통하다,*,*,*,*,*
自通하다,*,*,*,VV,*,F,자통하다,*,*,*,*,*
自退,*,*,*,NNG,*,F,자퇴,*,*,*,*,*
自退書,*,*,*,NNG,*,F,자퇴서,*,*,*,*,*
自退하다,*,*,*,VV,*,F,자퇴하다,*,*,*,*,*
自派,*,*,*,NNG,*,F,자파,*,*,*,*,*
自罷,*,*,*,NNG,*,F,자파,*,*,*,*,*
自罷하다,*,*,*,VV,*,F,자파하다,*,*,*,*,*
字板,*,*,*,NNG,*,T,자판,*,*,*,*,*
自判,*,*,*,NNG,*,T,자판,*,*,*,*,*
自判,*,*,*,NNG,*,T,자판,*,*,*,*,*
自辦,*,*,*,NNG,*,T,자판,*,*,*,*,*
自辦,*,*,*,NNG,*,T,자판,*,*,*,*,*
自販機,*,*,*,NNG,*,F,자판기,*,*,*,*,*
自判하다,*,*,*,VV,*,F,자판하다,*,*,*,*,*
自判하다,*,*,*,VV,*,F,자판하다,*,*,*,*,*
自辦하다,*,*,*,VV,*,F,자판하다,*,*,*,*,*
自辦하다,*,*,*,VV,*,F,자판하다,*,*,*,*,*
紫貝,*,*,*,NNG,*,F,자패,*,*,*,*,*
自便,*,*,*,NNG,*,T,자편,*,*,*,*,*
子鞭,*,*,*,NNG,*,T,자편,*,*,*,*,*
自便,*,*,*,NNG,*,T,자편,*,*,*,*,*
自評,*,*,*,NNG,*,T,자평,*,*,*,*,*
自評하다,*,*,*,VV,*,F,자평하다,*,*,*,*,*
自閉,*,*,*,NNG,*,F,자폐,*,*,*,*,*
滋弊,*,*,*,NNG,*,F,자폐,*,*,*,*,*
自廢,*,*,*,NNG,*,F,자폐,*,*,*,*,*
自斃,*,*,*,NNG,*,F,자폐,*,*,*,*,*
自閉線,*,*,*,NNG,*,T,자폐선,*,*,*,*,*
自閉性,*,*,*,NNG,*,T,자폐성,*,*,*,*,*
自閉性傾向,*,*,*,NNG,*,T,자폐성경향,*,*,*,*,*
自閉性發達障礙,*,*,*,NNG,*,F,자폐성발달장애,*,*,*,*,*
自閉spectrum障礙,*,*,*,NNG,*,F,자폐스펙트럼장애,*,*,*,*,*
自閉兒,*,*,*,NNG,*,F,자폐아,*,*,*,*,*
自閉症,*,*,*,NNG,*,T,자폐증,*,*,*,*,*
滋弊하다,*,*,*,VV,*,F,자폐하다,*,*,*,*,*
自廢하다,*,*,*,VV,*,F,자폐하다,*,*,*,*,*
自斃하다,*,*,*,VV,*,F,자폐하다,*,*,*,*,*
自抛,*,*,*,NNG,*,F,자포,*,*,*,*,*
自暴,*,*,*,NNG,*,F,자포,*,*,*,*,*
刺胞,*,*,*,NNG,*,F,자포,*,*,*,*,*
恣暴,*,*,*,NNG,*,F,자포,*,*,*,*,*
紫袍,*,*,*,NNG,*,F,자포,*,*,*,*,*
紫袍,*,*,*,NNG,*,F,자포,*,*,*,*,*
刺胞動物,*,*,*,NNG,*,T,자포동물,*,*,*,*,*
刺胞動物門,*,*,*,NNG,*,T,자포동물문,*,*,*,*,*
自暴自棄,*,*,*,NNG,*,F,자포자기,*,*,*,*,*
自暴自棄하다,*,*,*,VV,*,F,자포자기하다,*,*,*,*,*
自抛하다,*,*,*,VV,*,F,자포하다,*,*,*,*,*
自暴하다,*,*,*,VV,*,F,자포하다,*,*,*,*,*
恣暴하다,*,*,*,VV,*,F,자포하다,*,*,*,*,*
恣暴,*,*,*,NNG,*,T,자폭,*,*,*,*,*
自爆,*,*,*,NNG,*,T,자폭,*,*,*,*,*
自爆器,*,*,*,NNG,*,F,자폭기,*,*,*,*,*
自爆信管,*,*,*,NNG,*,T,자폭신관,*,*,*,*,*
自爆裝置,*,*,*,NNG,*,F,자폭장치,*,*,*,*,*
自爆裝置,*,*,*,NNG,*,F,자폭장치,*,*,*,*,*
自爆하다,*,*,*,VV,*,F,자폭하다,*,*,*,*,*
字標,*,*,*,NNG,*,F,자표,*,*,*,*,*
資稟,*,*,*,NNG,*,T,자품,*,*,*,*,*
自皮生蟲,*,*,*,NNG,*,T,자피생충,*,*,*,*,*
自筆,*,*,*,NNG,*,T,자필,*,*,*,*,*
自筆本,*,*,*,NNG,*,T,자필본,*,*,*,*,*
自筆證書,*,*,*,NNG,*,F,자필증서,*,*,*,*,*
自筆證書遺言,*,*,*,NNG,*,T,자필증서유언,*,*,*,*,*
自筆하다,*,*,*,VV,*,F,자필하다,*,*,*,*,*
紫蝦,*,*,*,NNG,*,F,자하,*,*,*,*,*
紫霞,*,*,*,NNG,*,F,자하,*,*,*,*,*
紫霞,*,*,*,NNG,*,F,자하,*,*,*,*,*
磁荷,*,*,*,NNG,*,F,자하,*,*,*,*,*
子夏,*,*,*,NNP,*,F,자하,*,*,*,*,*
自下,*,*,*,NNG,*,F,자하,*,*,*,*,*
疵瑕,*,*,*,NNG,*,F,자하,*,*,*,*,*
紫河車,*,*,*,NNG,*,F,자하거,*,*,*,*,*
自下擧行,*,*,*,NNG,*,T,자하거행,*,*,*,*,*
自下擧行하다,*,*,*,VV,*,F,자하거행하다,*,*,*,*,*
資하다,*,*,*,VV,*,F,자하다,*,*,*,*,*
自下達上,*,*,*,NNG,*,T,자하달상,*,*,*,*,*
自下達上하다,*,*,*,VV,*,F,자하달상하다,*,*,*,*,*
