,하여,라,하고,하니,에,는,이,하다,면,요,니,로,나,어늘,니이다,니라,하며,러니,가,를,아,하니라,한대,와,오,라하니,리오,로되,라도,라가,러라,라하고,하면,호되,로다,할새,리라,어든,하라,하니이다,호대,며,하노라,하여는,엔,라하니라,라하여,잇가,하시니,도
知,512,858,676,315,95,219,105,131,193,244,151,35,159,78,177,167,49,104,41,16,102,29,21,53,50,37,81,77,17,42,43,13,16,4,57,9,28,17,2,20,2,22,11,4,0,17,12,17,4,13
年,245,987,165,156,2185,86,55,48,61,97,78,117,36,35,25,24,8,38,9,20,5,33,14,7,5,15,4,48,8,20,33,0,5,5,2,3,7,8,4,4,2,10,3,8,10,5,4,0,0,2
矣,35,1728,15,27,25,9,9,1,51,269,542,2,154,135,344,359,3,54,1,2,22,5,2,1,35,72,14,186,5,12,75,101,0,0,235,0,370,21,4,3,0,34,2,1,2,39,12,5,2,2
如,499,595,379,481,96,201,71,246,338,129,102,16,76,72,120,109,67,31,37,54,61,65,23,25,163,50,42,40,30,26,57,35,22,2,21,12,10,34,9,20,6,15,5,19,1,24,8,17,14,9
夫,423,371,444,195,241,1049,220,270,166,107,105,166,52,61,33,34,51,30,125,55,53,27,35,86,18,22,49,42,24,16,10,15,7,16,19,16,6,13,13,2,4,16,7,13,19,8,5,12,13,13
十,348,751,237,215,1429,108,99,88,71,252,178,106,34,39,40,29,16,52,22,31,4,34,13,201,9,14,2,54,14,20,55,5,10,12,1,2,4,4,1,2,2,32,11,2,10,5,1,0,2,1
皆,597,933,494,494,32,47,19,302,62,233,248,64,110,143,154,134,36,60,8,5,19,107,30,13,7,45,3,115,7,12,84,22,6,32,8,3,14,4,11,35,9,14,2,0,0,10,14,5,6,0
能,597,718,573,373,31,225,36,57,258,203,172,58,147,89,144,139,58,54,26,38,198,49,6,22,32,47,136,58,31,17,44,25,13,12,21,2,34,45,0,20,0,28,3,2,0,14,26,31,3,5
中,743,394,523,347,416,217,204,223,106,121,99,89,56,70,39,48,44,80,36,32,27,55,34,38,9,23,8,20,17,48,20,4,10,11,7,13,4,5,6,10,3,5,5,9,12,4,9,3,7,8
上,764,270,508,289,181,206,705,117,91,100,65,110,37,74,45,46,46,40,25,42,17,47,64,28,5,21,6,15,9,16,18,15,14,61,2,20,1,10,2,12,10,8,8,8,10,4,30,5,9,10
國,559,369,416,368,243,347,280,181,152,128,149,86,63,110,78,72,52,43,62,65,30,34,13,50,38,36,35,31,27,19,7,18,8,12,14,6,11,21,14,7,8,14,4,12,19,12,12,19,6,11
三,417,474,353,316,750,327,137,136,84,158,157,117,64,55,51,39,25,51,34,51,13,41,29,102,23,19,11,49,23,21,27,9,16,21,5,4,2,7,6,6,16,13,10,13,14,9,4,0,9,11
將,785,259,452,287,252,141,316,206,98,80,103,99,48,121,59,46,12,102,28,22,76,16,131,38,64,43,79,22,11,42,9,29,9,17,16,79,75,15,7,2,4,6,13,10,9,8,3,18,10,8
謂,151,628,106,86,48,385,58,1,42,213,235,32,46,30,116,95,9,20,55,32,73,5,4,18,70,63,25,32,12,6,3,44,1,41,84,0,3,4,10,0,19,20,0,2,1,37,42,9,0,5
二,387,450,236,242,907,282,113,88,82,187,131,87,36,40,50,45,13,42,43,36,12,32,20,117,20,13,9,31,3,10,21,8,9,6,8,3,7,5,10,7,5,13,14,5,7,7,3,2,2,10
今,578,272,343,417,495,579,273,5,150,93,91,130,92,78,56,32,12,4,88,51,32,19,2,29,19,18,13,51,29,8,0,10,40,5,12,2,5,8,10,9,2,9,5,4,33,6,4,10,22,20
後,396,425,240,281,1159,224,84,98,104,86,100,133,32,40,48,103,41,37,64,36,25,34,25,24,14,42,15,14,18,17,23,12,4,6,15,14,22,9,6,5,1,10,15,26,34,10,13,3,4,10
行,664,367,457,303,274,203,122,158,176,101,110,36,76,64,83,49,67,48,24,57,38,35,44,29,7,34,16,27,21,31,14,14,22,15,10,24,10,11,12,16,3,6,11,5,4,5,15,10,19,14
于,658,272,525,635,114,89,35,947,44,20,33,13,42,67,15,23,43,81,23,10,7,51,59,10,4,38,9,20,8,48,7,10,13,6,12,57,2,3,7,6,2,4,16,9,3,8,4,2,3,0
書,638,281,460,306,235,268,83,189,46,96,37,68,42,43,8,19,31,46,35,38,13,67,46,53,7,32,6,26,11,38,14,13,12,33,5,12,2,7,7,4,10,6,29,9,2,6,9,1,6,8
亦,354,999,177,269,18,20,21,90,21,114,226,32,83,62,227,222,30,50,11,8,195,70,10,8,16,30,42,42,1,6,41,18,1,10,56,1,71,8,9,27,6,10,6,0,1,20,11,40,7,0
相,650,368,411,372,155,147,188,155,101,66,106,40,58,71,53,60,62,77,27,32,34,49,33,40,10,21,14,47,16,18,18,11,18,20,4,7,3,10,13,17,6,5,12,8,5,6,14,2,7,8
見,381,449,573,343,164,114,90,71,101,90,82,31,55,68,57,68,28,43,43,29,21,26,56,24,7,22,15,37,17,15,20,8,33,13,23,14,13,19,6,9,4,9,11,13,6,5,6,4,2,2
文,485,420,341,267,197,368,271,88,62,95,78,81,97,50,16,60,33,47,32,40,23,46,21,42,9,27,14,30,16,15,9,12,14,11,9,13,4,3,3,2,2,8,6,17,8,17,12,4,5,17
用,566,455,413,300,91,197,130,71,187,104,110,51,65,52,89,65,67,40,25,36,41,40,22,35,23,31,69,36,20,17,18,12,17,3,8,7,13,5,7,22,5,13,5,13,8,6,9,10,16,8
未,247,714,314,333,367,75,19,46,87,164,130,29,127,127,225,143,35,98,3,18,27,32,6,10,9,26,3,54,10,11,32,17,8,3,18,2,18,19,0,12,3,16,0,4,25,11,18,4,13,2
非,164,938,154,72,26,70,39,0,360,453,230,18,108,62,202,179,26,10,17,28,130,8,2,27,51,33,29,70,17,7,6,17,1,0,17,0,5,32,1,9,2,27,0,3,0,11,14,23,6,0
在,355,465,302,395,351,112,34,39,103,150,133,19,51,68,101,73,29,60,33,35,31,31,11,13,39,37,19,31,20,22,11,17,10,5,10,8,9,8,2,12,2,10,0,11,20,5,11,17,8,5
出,737,341,386,369,225,105,49,224,116,69,74,20,52,85,53,37,34,51,24,29,20,54,30,23,9,18,10,33,15,47,11,10,20,15,5,22,9,8,10,7,3,7,4,9,10,5,6,8,4,4
