hanja,hyeonto,cooccur_count,hanja_count,hyeonto_count,pmi
日,는,103,3756,20443,-1.025
十,어늘,39,5743,5066,-1.026
中,하라,6,5639,794,-1.027
亦,하고,177,4602,28730,-1.028
臣,라가,12,6439,1394,-1.03
是,하니,208,7292,21328,-1.03
已,호대,4,3851,778,-1.032
諸,라하고,6,3669,1225,-1.032
諸,어든,4,3669,817,-1.033
所,로,126,12656,7466,-1.034
無,와,31,9706,2395,-1.034
者,로,210,21101,7466,-1.035
是,하고,279,7292,28730,-1.036
也,어든,29,26664,817,-1.036
師,잇가,3,3481,647,-1.036
夫,라하여,5,5744,654,-1.037
之,할새,84,69570,908,-1.038
故,이,123,6906,13390,-1.038
此,하노라,8,8103,743,-1.039
及,며,4,4008,752,-1.041
上,나,37,5497,5073,-1.041
大,에,259,9361,20869,-1.042
不,도,29,36502,599,-1.042
有,는,440,16242,20443,-1.043
非,리라,5,4326,872,-1.043
如,호대,6,5821,778,-1.043
其,하다,503,30717,12378,-1.045
年,리라,7,6075,872,-1.047
三,하며,25,5380,3517,-1.047
大,잇가,8,9361,647,-1.048
皆,면,62,5714,8230,-1.05
欲,하라,4,3821,794,-1.05
二,하여는,5,5144,738,-1.052
今,하노라,5,5115,743,-1.053
則,하라,10,9567,794,-1.053
太,니,39,3822,7760,-1.054
無,엔,9,9706,708,-1.06
五,라도,6,3226,1421,-1.061
日,라하니,10,3756,2035,-1.062
用,하다,71,4385,12378,-1.062
師,하며,16,3481,3517,-1.063
晉,엔,3,3243,708,-1.063
日,오,11,3756,2241,-1.063
世,하며,18,3916,3517,-1.063
侯,에,115,4218,20869,-1.064
見,하다,71,4395,12378,-1.065
以,엔,32,34619,708,-1.065
中,로다,7,5639,952,-1.066
人,에,523,19215,20869,-1.066
一,이,134,7673,13390,-1.066
已,를,15,3851,2996,-1.071
國,하면,8,5416,1137,-1.072
四,면,34,3183,8230,-1.073
將,는,141,5323,20443,-1.075
若,로,33,3413,7466,-1.076
可,라도,17,9245,1421,-1.077
王,면,87,8165,8230,-1.077
所,하라,13,12656,794,-1.078
王,라도,15,8165,1421,-1.079
書,이,83,4799,13390,-1.08
然,하여는,6,6302,738,-1.082
可,러니,39,9245,3273,-1.083
太,라도,7,3822,1421,-1.083
一,엔,7,7673,708,-1.083
太,나,25,3822,5073,-1.083
明,하다,52,3261,12378,-1.084
至,오,19,6585,2241,-1.085
十,이,99,5743,13390,-1.085
王,로다,10,8165,952,-1.086
後,하시니,4,5088,611,-1.086
侯,아,16,4218,2954,-1.088
十,라하니라,5,5743,678,-1.088
公,니라,62,11407,4236,-1.09
乃,하면,5,3432,1137,-1.092
則,어든,10,9567,817,-1.094
至,로다,8,6585,952,-1.097
可,하고,339,9245,28730,-1.097
所,하노라,12,12656,743,-1.097
矣,잇가,5,6060,647,-1.098
時,하노라,4,4223,743,-1.099
死,로,30,3155,7466,-1.1
出,하노라,4,4231,743,-1.102
所,에,336,12656,20869,-1.102
知,이,105,6165,13390,-1.102
君,러니,29,6963,3273,-1.102
在,는,112,4310,20443,-1.103
侯,로,40,4218,7466,-1.104
侯,오,12,4218,2241,-1.105
二,라하고,8,5144,1225,-1.105
見,는,114,4395,20443,-1.106
言,로,71,7503,7466,-1.107
得,는,179,6911,20443,-1.108
月,호대,4,4062,778,-1.109
君,하면,10,6963,1137,-1.112
從,와,10,3309,2395,-1.114
者,하여,1024,21101,38494,-1.115
在,와,13,4310,2395,-1.116
今,리오,13,5115,2019,-1.117
于,라하여,4,4860,654,-1.118
明,로되,8,3261,1954,-1.121
已,하며,17,3851,3517,-1.121
太,러라,6,3822,1251,-1.122
其,할새,35,30717,908,-1.122
公,니,111,11407,7760,-1.123
世,오,11,3916,2241,-1.123
晉,아,12,3243,2954,-1.124
必,가,16,3926,3256,-1.125
五,하노라,3,3226,743,-1.125
侯,하면,6,4218,1137,-1.126
未,하여는,4,4332,738,-1.126
爲,할새,26,22901,908,-1.127
生,호되,4,3215,995,-1.127
二,호대,5,5144,778,-1.128
州,라도,7,3948,1421,-1.13
五,오,9,3226,2241,-1.133
然,하다,97,6302,12378,-1.135
乎,가,16,3952,3256,-1.135
後,하니이다,5,5088,791,-1.136
而,나,225,35709,5073,-1.136
出,로다,5,4231,952,-1.137
二,라하니,13,5144,2035,-1.137
于,호되,6,4860,995,-1.138
故,어든,7,6906,817,-1.138
自,는,193,7614,20443,-1.139
後,나,32,5088,5073,-1.139
非,하고,154,4326,28730,-1.14
晉,오,9,3243,2241,-1.141
十,하다,88,5743,12378,-1.141
有,라가,28,16242,1394,-1.143
大,호대,9,9361,778,-1.144
日,잇가,3,3756,647,-1.145
月,와,12,4062,2395,-1.146
公,라도,20,11407,1421,-1.146
有,도,12,16242,599,-1.147
後,이,84,5088,13390,-1.147
也,하니라,89,26664,2711,-1.149
明,오,9,3261,2241,-1.149
故,면,70,6906,8230,-1.149
可,하며,40,9245,3517,-1.15
臣,리오,16,6439,2019,-1.15
矣,아,22,6060,2954,-1.152
後,오,14,5088,2241,-1.153
使,이,120,7315,13390,-1.156
五,나,20,3226,5073,-1.16
侯,니,40,4218,7760,-1.16
死,호대,3,3155,778,-1.16
必,하니라,13,3926,2711,-1.161
先,하라,3,3097,794,-1.162
國,할새,6,5416,908,-1.162
年,면,61,6075,8230,-1.162
此,이,132,8103,13390,-1.166
民,한대,11,3618,2501,-1.167
若,어늘,21,3413,5066,-1.169
出,는,105,4231,20443,-1.169
年,라하니,15,6075,2035,-1.17
年,라하니라,5,6075,678,-1.17
軍,호대,3,3184,778,-1.173
無,는,240,9706,20443,-1.175
臣,아,23,6439,2954,-1.175
師,로다,4,3481,952,-1.178
非,가,17,4326,3256,-1.178
太,로되,9,3822,1954,-1.18
年,하니,156,6075,21328,-1.181
故,는,170,6906,20443,-1.181
欲,와,11,3821,2395,-1.184
吾,하니라,12,3686,2711,-1.185
得,가,27,6911,3256,-1.186
十,라하니,14,5743,2035,-1.189
夫,리라,6,5744,872,-1.189
今,라하여,4,5115,654,-1.191
夫,니이다,33,5744,4802,-1.191
中,하노라,5,5639,743,-1.194
時,하라,4,4223,794,-1.195
四,하니이다,3,3183,791,-1.196
十,니라,29,5743,4236,-1.196
二,어든,5,5144,817,-1.199
民,라가,6,3618,1394,-1.199
使,로되,17,7315,1954,-1.199
侯,도,3,4218,599,-1.201
吾,니이다,21,3686,4802,-1.203
諸,요,35,3669,8043,-1.203
後,호되,6,5088,995,-1.204
軍,면,31,3184,8230,-1.207
得,로,61,6911,7466,-1.208
有,한대,48,16242,2501,-1.208
是,라가,12,7292,1394,-1.21
中,며,5,5639,752,-1.212
與,에,172,7002,20869,-1.214
十,가,22,5743,3256,-1.215
時,리오,10,4223,2019,-1.219
二,호되,6,5144,995,-1.22
此,하여는,7,8103,738,-1.222
出,리오,10,4231,2019,-1.222
見,호대,4,4395,778,-1.223
可,는,221,9245,20443,-1.224
年,나,36,6075,5073,-1.225
十,나,34,5743,5073,-1.226
者,와,59,21101,2395,-1.226
在,호되,5,4310,995,-1.228
至,를,23,6585,2996,-1.228
又,어든,4,4202,817,-1.229
書,면,46,4799,8230,-1.229
相,로,40,4601,7466,-1.23
者,하시니,15,21101,611,-1.231
謂,러니,20,5258,3273,-1.232
子,하며,70,17119,3517,-1.232
非,라가,7,4326,1394,-1.234
乎,라하여,3,3952,654,-1.234
使,오,19,7315,2241,-1.236
于,라도,8,4860,1421,-1.237
必,는,93,3926,20443,-1.237
太,라하니라,3,3822,678,-1.238
公,하면,15,11407,1137,-1.239
如,하노라,5,5821,743,-1.24
焉,하면,4,3049,1137,-1.243
行,엔,4,4901,708,-1.244
上,라도,9,5497,1421,-1.245
于,러라,7,4860,1251,-1.246
太,아,13,3822,2954,-1.246
諸,라도,6,3669,1421,-1.247
公,하시니,8,11407,611,-1.25
乎,나,23,3952,5073,-1.251
言,라가,12,7503,1394,-1.251
故,리오,16,6906,2019,-1.251
是,와,20,7292,2395,-1.254
矣,리오,14,6060,2019,-1.255
而,로,305,35709,7466,-1.255
士,리라,4,4026,872,-1.261
晉,하니라,10,3243,2711,-1.263
也,하니이다,24,26664,791,-1.263
言,에,178,7503,20869,-1.264
年,어늘,35,6075,5066,-1.264
侯,러라,6,4218,1251,-1.264
三,라하여,4,5380,654,-1.264
至,는,153,6585,20443,-1.265
道,이,62,4092,13390,-1.271
此,에,191,8103,20869,-1.274
然,어늘,36,6302,5066,-1.276
