현토,총빈도,종결비율,번역패턴,패턴속성,Silhouette,K
호리라,122,0.492,"겠다하였다(6), 던져주리라(5), 지않으리라(5)",단일,0.259,2
라하나이다,118,0.441,"다고합니다(27), 하였습니다(15), 라고합니다(8)",단일,0.18,1
언마는,109,0.101,"아니었으나(4), 은아니지만(4), 는바이지만(3)",단일,0.239,2
라하더니,108,0.176,"다하였는데(11), 라고하였다(8), 고하였는데(6)",단일,0.138,1
리잇고,108,0.546,"있겠습니까(25), 하겠습니까(8), 않겠습니까(4)",단일,0.18,1
론,108,0.0,"하기보다는(4), 지않겠는가(3), 는것보다는(3)",단일,0.217,2
러시니,107,0.103,"가말하였다(2), 려고하셨다(2), 지못하였다(2)",단일,0.213,2
언정,106,0.0,"있을지언정(14), 죽을지언정(5), 수는없으며(3)",단일,0.179,1
에는,105,0.0,"있는것이다(2), 없을때에는(2), 향일때에는(2)",단일,0.179,1
라하시고,102,0.127,"씀하시기를(8), 라고하시고(5), 다하셨으며(3)",단일,0.211,2
라하면,102,0.088,"라고한다면(8), 다고한다면(6), 다라고하면(4)",단일,0.209,2
리오하고,100,0.21,"라고하고서(12), 는가하고는(11), 가라고하고(7)",단일,0.135,1
로이다,100,0.46,"니다하였다(9), 대답하였다(4), 습니다하자(3)",단일,0.159,1
하나,99,0.03,"위태로우나(6), 이없으리라(3), 내길하리라(3)",단일,0.243,2
하야도,98,0.0,"이르러서도(11), 의경우에도(3), 에이르러도(3)",단일,0.136,1
로도,98,0.01,"쓰지않으면(3), 알수있으나(2), 초함으로도(2)",단일,0.215,2
커늘,96,0.01,"훙하자(5), 즉위하였다(5), 졸하자(4)",단일,0.136,1
어니,94,0.011,"수있겠는가(11), 라고하였다(6), 이있겠는가(3)",단일,0.221,2
하오니,91,0.077,"폐하께서는(6), 고자하오니(5), 는것이오니(4)",단일,0.156,1
라하노이다,89,0.573,"는것입니다(16), 고여깁니다(15), 생각합니다(15)",단일,0.171,1
리오하니,89,0.202,"고하였으니(7), 라고하였다(6), 가하였으니(5)",단일,0.222,2
하신대,88,0.011,"대답하기를(3), 게하셨는데(3), 게여기셨다(3)",단일,0.239,2
니잇고,87,0.414,"까하고묻자(6), 수있습니까(6), 단말입니까(4)",단일,0.198,1
호라,86,0.593,"지못했노라(8), 지못하노라(7), 글퍼하노라(6)",단일,0.219,2
일새니이다,83,0.578,"때문입니다(38), 어서입니다(2), 과같습니다(1)",단일,0.169,1
라하노라,81,0.716,"하는것이다(27), 고한것이다(3), 생각합니다(2)",단일,0.204,2
어나,80,0.05,"황을하거나(3), 알현하거나(2), 변별하거나(2)",단일,0.175,1
라하나,75,0.04,"생각합니다(5), 고하였으나(5), 다라고하나(3)",단일,0.172,1
일새니라,73,0.685,"기때문이다(49), 때문이었다(3), 때문입니다(3)",단일,0.186,1
하라하니,69,0.246,"라고하였다(4), 고하였으니(4), 하라고하니(3)",단일,0.156,1
인대,68,0.015,"라고하였다(2), 있겠습니까(2), 물으시려면(2)",단일,0.172,1
리니이다,67,0.567,"을것입니다(19), 할것입니다(6), 일것입니다(2)",단일,0.178,1
하더라,67,0.582,"려워하였다(3), 하지않았다(2), 하게되었다(2)",단일,0.166,1
라하여늘,63,0.19,"다하였는데(5), 씀하시기를(4), 가말하기를(2)",단일,0.161,1
호리이다,60,0.483,"니다하였다(6), 하겠습니다(5), 리겠습니다(4)",단일,0.23,2
하라하고,59,0.288,"라고하고서(8), 라라고하고(3), 하라하고는(3)",단일,0.141,1
하시다,59,0.661,"지않으셨다(8), 르게하였다(5), 지못하였다(4)",단일,0.241,2
타가,59,0.0,"대패하였다(4), 전쟁하다가(3), 되돌아왔다(3)",단일,0.144,1
아하니라,58,0.621,"가한것이다(8), 라고하였다(7), 는가하였다(6)",단일,0.243,2
라하며,58,0.172,"다하였으며(10), 고하였으며(9), 하였으며(3)",단일,0.262,2
어시든,57,0.018,"백성들이(3), 부르시거든(3), 악을타시면(2)",단일,0.275,2
하실새,57,0.018,"주하실적에(2), 이침략하자(2), 침략이있자(2)",단일,0.239,2
로니,56,0.089,"어느달에나(3), 선부는(2), 차이도로써(2)",단일,0.294,2
언만,54,0.056,"아니었지만(2), 면하였건만(1), 으로삼으며(1)",단일,0.141,1
하시되,52,0.0,"씀하시기를(2), 를받으시되(2), 않으셨으니(2)",단일,0.245,2
컨댄,52,0.019,"비교해보면(2), 나의담장은(1), 무능한자가(1)",단일,0.201,2
로다하고,52,0.173,"다라고하고(4), 라고하고는(3), 라고하였고(2)",단일,0.198,1
라호되,51,0.176,"고하였으나(7), 다하였으나(6), 니다하였다(3)",단일,0.158,1
런들,51,0.0,"았을것이다(2), 지못했던들(2), 게했더라면(2)",단일,0.164,1
라하나니,50,0.2,"다하였으니(2), 라고말하니(2), 다라고한다(2)",다의적,0.315,2
온여,50,0.58,"에있어서랴(12), 이겠습니까(3), 구나하였다(1)",다의적,0.32,2
