book_name,sentence_id,pa_cluster,sa_dominant_cluster,sa_cluster_diversity,sa_phrase_count
대학장구,370,3,1,1,1
대학장구,371,3,3,2,3
대학장구,372,3,3,1,3
대학장구,373,3,0,1,1
대학장구,374,3,3,1,1
대학장구,391,3,3,1,1
대학장구,408,3,1,1,1
대학장구,409,3,0,1,1
대학장구,410,3,0,2,3
대학장구,411,3,1,1,1
대학장구,412,3,1,1,1
대학장구,413,3,3,1,1
대학장구,430,3,0,2,3
맹자집주,62,3,3,1,1
맹자집주,73,3,3,1,3
맹자집주,75,3,0,1,1
맹자집주,80,3,0,1,1
맹자집주,86,3,0,1,1
맹자집주,107,3,3,1,1
맹자집주,119,3,1,1,1
맹자집주,120,3,3,1,1
맹자집주,121,3,15,1,1
맹자집주,122,3,3,1,1
맹자집주,123,3,3,1,1
맹자집주,125,3,3,2,2
맹자집주,127,3,0,1,2
맹자집주,128,3,3,1,1
맹자집주,129,3,0,1,2
맹자집주,130,3,3,2,3
맹자집주,131,3,0,1,1
맹자집주,137,3,1,1,1
맹자집주,138,3,3,1,1
맹자집주,139,3,3,1,1
맹자집주,150,3,11,1,1
맹자집주,160,3,3,1,1
맹자집주,161,3,0,1,2
맹자집주,170,3,0,1,1
맹자집주,171,3,3,1,1
맹자집주,172,3,3,1,1
맹자집주,173,3,0,2,2
맹자집주,188,3,3,1,1
맹자집주,191,3,0,2,4
맹자집주,192,3,4,1,1
맹자집주,195,3,0,1,2
맹자집주,199,3,0,1,2
맹자집주,200,3,3,1,1
맹자집주,206,3,3,1,1
맹자집주,207,3,3,1,1
맹자집주,208,3,0,1,1
맹자집주,264,3,3,1,1
맹자집주,272,3,3,2,4
맹자집주,302,3,0,1,1
맹자집주,303,3,3,2,5
맹자집주,304,3,3,1,1
맹자집주,305,3,0,1,1
맹자집주,306,3,3,1,1
맹자집주,341,3,3,2,3
맹자집주,364,3,3,1,1
맹자집주,365,3,3,1,1
맹자집주,376,3,0,1,1
맹자집주,381,3,0,1,1
맹자집주,389,3,1,1,1
맹자집주,399,3,3,1,1
맹자집주,400,3,7,2,3
맹자집주,401,3,3,2,3
맹자집주,403,3,2,1,2
맹자집주,415,3,3,1,1
맹자집주,416,3,0,1,1
맹자집주,417,3,0,1,1
맹자집주,427,3,0,2,5
맹자집주,428,3,0,1,1
맹자집주,429,3,1,1,1
맹자집주,430,3,1,1,1
맹자집주,431,3,1,2,2
맹자집주,441,3,3,2,3
맹자집주,448,3,3,1,1
맹자집주,449,3,1,1,1
맹자집주,475,3,0,1,1
맹자집주,476,3,3,1,1
맹자집주,479,3,3,1,1
맹자집주,480,3,0,1,1
맹자집주,493,3,1,1,1
맹자집주,570,3,1,1,1
맹자집주,571,3,3,1,1
맹자집주,572,3,0,1,1
맹자집주,573,3,3,2,4
맹자집주,574,3,3,1,1
맹자집주,575,3,3,1,1
맹자집주,611,3,0,1,1
맹자집주,632,3,1,1,1
맹자집주,642,3,0,1,1
맹자집주,645,3,1,1,1
맹자집주,646,3,0,1,1
맹자집주,647,3,3,1,1
맹자집주,648,3,3,1,1
맹자집주,649,3,0,1,2
맹자집주,650,3,3,1,1
맹자집주,651,3,0,1,3
맹자집주,652,3,3,1,1
맹자집주,653,3,1,1,1
맹자집주,659,3,1,1,1
맹자집주,686,3,3,2,2
맹자집주,687,3,3,1,1
맹자집주,696,3,3,1,1
맹자집주,697,3,3,1,1
맹자집주,698,3,3,1,1
맹자집주,699,3,0,1,1
맹자집주,700,3,11,1,1
맹자집주,706,3,0,1,1
맹자집주,709,3,0,1,1
맹자집주,710,3,8,1,1
맹자집주,711,3,3,1,1
맹자집주,713,3,0,2,3
맹자집주,714,3,3,2,3
맹자집주,715,3,0,2,2
맹자집주,719,3,0,1,1
맹자집주,720,3,0,2,3
맹자집주,721,3,8,1,1
맹자집주,722,3,3,1,1
맹자집주,723,3,0,1,1
맹자집주,730,3,5,1,1
맹자집주,731,3,0,1,1
맹자집주,733,3,1,1,1
맹자집주,734,3,0,2,4
맹자집주,735,3,0,1,1
맹자집주,736,3,1,1,1
맹자집주,762,3,0,1,1
맹자집주,763,3,0,1,1
맹자집주,769,3,0,2,5
맹자집주,773,3,1,1,1
맹자집주,774,3,3,1,1
맹자집주,789,3,1,1,1
맹자집주,790,3,3,1,1
맹자집주,791,3,3,1,1
맹자집주,792,3,0,2,2
맹자집주,793,3,0,1,3
맹자집주,794,3,0,1,3
맹자집주,795,3,3,1,1
맹자집주,796,3,0,1,1
맹자집주,812,3,3,1,1
맹자집주,813,3,3,1,1
맹자집주,814,3,3,1,1
맹자집주,816,3,3,1,3
맹자집주,829,3,3,1,1
맹자집주,830,3,3,1,1
맹자집주,890,3,3,1,1
맹자집주,891,3,3,2,3
맹자집주,895,3,0,1,1
맹자집주,896,3,1,1,1
맹자집주,897,3,1,1,1
맹자집주,926,3,3,1,3
맹자집주,940,3,4,2,3
맹자집주,944,3,3,1,3
맹자집주,945,3,3,1,1
맹자집주,946,3,3,1,1
맹자집주,947,3,3,1,1
맹자집주,954,3,3,1,1
맹자집주,955,3,0,1,1
맹자집주,956,3,1,1,1
맹자집주,963,3,1,1,1
맹자집주,964,3,0,2,4
맹자집주,965,3,3,1,1
맹자집주,982,3,5,1,1
맹자집주,983,3,0,1,1
맹자집주,984,3,0,1,1
맹자집주,1002,3,3,1,1
맹자집주,1003,3,0,1,1
맹자집주,1004,3,0,1,1
맹자집주,1014,3,1,1,1
맹자집주,1020,3,3,1,1
맹자집주,1035,3,0,1,1
맹자집주,1036,3,3,1,1
맹자집주,1039,3,0,1,1
맹자집주,1064,3,3,1,1
맹자집주,1067,3,0,2,2
맹자집주,1074,3,0,1,1
맹자집주,1086,3,3,1,1
맹자집주,1109,3,1,1,1
맹자집주,1110,3,0,1,1
맹자집주,1111,3,1,1,1
맹자집주,1112,3,3,1,1
맹자집주,1113,3,0,1,1
맹자집주,1124,3,0,1,1
맹자집주,1148,3,0,1,1
맹자집주,1187,3,0,2,3
맹자집주,1188,3,0,1,3
맹자집주,1189,3,0,1,1
맹자집주,1190,3,3,1,4
맹자집주,1192,3,3,1,1
맹자집주,1193,3,2,1,2
맹자집주,1197,3,0,2,5
맹자집주,1204,3,0,1,1
맹자집주,1213,3,0,2,8
맹자집주,1214,3,3,1,1
맹자집주,1237,3,3,1,1
맹자집주,1280,3,0,2,2
맹자집주,1281,3,2,1,2
맹자집주,1298,3,3,1,1
맹자집주,1299,3,0,1,1
맹자집주,1300,3,0,1,1
맹자집주,1301,3,3,1,1
맹자집주,1311,3,13,1,1
맹자집주,1323,3,4,1,2
맹자집주,1346,3,4,1,2
맹자집주,1347,3,0,1,1
맹자집주,1390,3,3,1,3
맹자집주,1391,3,3,1,1
맹자집주,1392,3,0,1,1
맹자집주,1393,3,3,2,3
맹자집주,1394,3,3,1,1
맹자집주,1408,3,3,1,1
맹자집주,1421,3,0,1,1
